"Rank","Last.year","Up.or.down","Name","Position","Club.on.1.Dec.2021","League","Age.on.1.Dec.2021","Nationality","Facewall.cell.image.GRID.src","Facewall.main.image.GRID.src","Profile"
1,"23","22","Alexia Putellas","Midfielder","Barcelona","Primera Iberdrola",27,"Spain","https://media.guim.co.uk/ebbb3bdb021e2e0b1e806b62b5790eb1b59695f1/1037_3_952_952/500.jpg","https://media.guim.co.uk/71fe5ec605780fc2200caf65b36ec4d46265ecb0/0_31_3228_1937/500.jpg","A simply untouchable and unmatchable year for our 2021 winner. The Barcelona and Spain midfielder has been on top of the game and risen to the top with it. She has produced almost unfathomable numbers for club and country in terms of goals and assists, as well as being a key component of Barça’s success throughout the year, in which the Catalan club secured a treble and a first Champions League title. Putellas's ability to create, score and run games has enabled her to stand out even in a team of superstars and in our vote she was almost 300 points clear of second place, with more than half our judges voting her their No 1."
2,"2","-","Vivianne Miedema","Forward","Arsenal","Barclays FA Women's Super League",25,"Netherlands","https://media.guim.co.uk/aba22487907da2457205b7f546ac889e5ab3c045/738_144_2779_2779/500.jpg","https://media.guim.co.uk/6d80d27c95cadfb81bf2063ee12077976b05c4de/0_128_3453_2072/500.jpg","The Arsenal and Netherlands striker again comes home second, this time to the brilliant Alexia Putellas, though that is no slight on another magical year for one of the world’s finest strikers. Miedema continued to push the boundaries in 2021 and to break records with it; she is now out on her own as the top scorer in the history of the Women’s Super League. Miedema has continued to show she can also be a creative force for club and country, not just a scorer. She won the Golden Boot at the Tokyo Olympics during the summer with a remarkable 10 goals in four games, including two against the world champions, USA, in a thrilling quarter-final."
3,"7","4","Sam Kerr","Forward","Chelsea","Barclays FA Women's Super League",28,"Australia","https://media.guim.co.uk/398a3091b11368cb5105870c9a253b3c76c30438/756_80_1041_1041/500.jpg","https://media.guim.co.uk/67d39e28e86f722ff62e601a7d7c376d71d41906/102_208_2760_1658/500.jpg","The deadliest striker in England typifies the growing quality on show in the women’s game. Now firmly established as one of the world’s best, Kerr toppled Vivianne Miedema as the Golden Boot winner in the Women’s Super League last season and leads the way again this term, thanks in no small part to her connection with strike partner Fran Kirby. Kerr’s goals helped Chelsea to another domestic double as well as a first Champions League final while she continued to be in fine form for her national team too, scoring six goals for Australia in Tokyo, a tally beaten only by Miedema."
4,"8","4","Caroline Graham Hansen","Forward","Barcelona","Primera Iberdrola",26,"Norway","https://media.guim.co.uk/94a3d0a7f07d42eba7577865c7efefe109a86891/883_48_1075_1075/500.jpg","https://media.guim.co.uk/1733413804b53bca41b344be4fee3182e0415c9f/0_319_4541_2726/500.jpg","Graham Hansen not being on the Ballon d’Or shortlist was one of the shocks of award season given the influence she had on Barcelona’s incredible year. While the Norwegian superstar scores her fair share of goals, she has undoubtedly become known as one of the most creative players anywhere and her first appearance in the top five only backs up what an incredible year she has had. Graham Hansen has surpassed the 40-goal mark for Norway and, playing as an inside forward for Barcelona, she played a huge part in her team’s success throughout 2021."
5,"1","-4","Pernille Harder","Forward","Chelsea","Barclays FA Women's Super League",29,"Denmark","https://media.guim.co.uk/275f6451c6b2186bdba6129a10e257901399d6b0/513_103_1102_1101/500.jpg","https://media.guim.co.uk/dd757347b7b8d89a296970914e7c363d29a74d0a/0_148_4108_2465/500.jpg","Last year’s winner took some time to find her best form at Chelsea following her high-profile move from Wolfsburg, but her talent was still evident in that she ended last season with nine league goals. Since the summer though it has been a different story: she has become more at home in a Chelsea side now playing around Harder’s strengths, and her superb solo goal against Manchester United in September illustrated what she brings to her team. Between club and country, she has scored in seven of her 10 games so far this season at the time of writing."
6,"14","8","Jenni Hermoso","Forward","Barcelona","Primera Iberdrola",31,"Spain","https://media.guim.co.uk/8a38a660814bf6e6d815fd9bfd7a59c608e1cd30/400_356_1255_1255/500.jpg","https://media.guim.co.uk/668fcdd7f907f2728cd632b794b6b82b212f59a4/0_65_4500_2701/500.jpg","Hermoso shoots into the top 10 of the rankings and given her goalscoring exploits it’s easy to see why. It is a testament to Barcelona that despite her high ranking two of her clubmates are still above her in our list. Hermoso ended last season at the top of the Primera Iberdrola scoring charts, the only player to score more than 30 goals, while she also registered 14 assists and ended the campaign as joint top scorer in the Champions League too. It’s hard to look past stats such as that when discussing strikers and Hermoso’s contributions this year put her right up there with the very best."
7,"-","Re-entry","Fran Kirby","Forward","Chelsea","Barclays FA Women's Super League",28,"England","https://media.guim.co.uk/a0f4adc108260b50b847966df193b66238f658c1/738_65_1341_1340/500.jpg","https://media.guim.co.uk/0563450a4c1006faec6100ac045c47efb89fc9db/0_297_4461_2677/500.jpg","After an illness that dropped her out of the rankings last year, it is a testament to both Kirby’s resilience and burning talent that she returns and moves into the top 10 for the first time. Her partnership with Sam Kerr has made Chelsea almost unstoppable and her individual numbers have been incredible, despite Kerr taking the Golden Boot at the end of last season. Kirby’s movement, ingenuity and footwork make her a nightmare for most defenders and she has returned to the pitch in prime form at a time when England will need her at her best going into a home European Championship."
8,"34","26","Irene Paredes","Defender","Barcelona","Primera Iberdrola",30,"Spain","https://media.guim.co.uk/00db4142967f1908d1735517cd40ec25dc06c603/799_153_618_617/500.jpg","https://media.guim.co.uk/fe85aa118c2deeb4a43f251180700b89c19652bf/385_499_2356_1414/500.jpg","The highest-ranked defender in this year’s list and given her contributions to two of the year’s most successful club sides, it’s hard to argue against it. And it is no coincidence that Paredes has played for two of Europe’s top teams in 2021. The Spain captain helped lead Paris Saint-Germain to a long-awaited league title before making a return to Spain and Barcelona in the summer, where she has only added to an already solid back line and formed a fantastic partnership with her fellow national team centre-back Mapi León."
9,"29","20","Lieke Martens","Forward","Barcelona","Primera Iberdrola",28,"Netherlands","https://media.guim.co.uk/b7a6ba163cc05ecd155c9e4d4d0b9d666211c843/1212_0_1341_1341/500.jpg","https://media.guim.co.uk/d4bab024224fa756bf20f53a4445701f30ac77fd/0_226_5250_3150/500.jpg","A former winner of the 100, the flying Dutch winger played a key role for both Barcelona and the Netherlands in 2021. She was approaching double figures once again by November for the all-conquering Spanish side. Her two goals in the Champions League semi-final second leg against PSG were among the standout moments of the year, and were followed by four goals for her national team at the Tokyo Olympics. Martens has been back at her best this year."
10,"93","83","Aitana Bonmati","Midfielder","Barcelona","Primera Iberdrola",23,"Spain","https://media.guim.co.uk/d087541f069763a946bea4241e6c5402f2bc65fa/1468_0_1163_1163/500.jpg","https://media.guim.co.uk/305a9bf451b8b3ee8d6f130b09bd2ae0fa71fb85/0_36_4409_2646/500.jpg","The 23-year-old has blossomed into a top player this year and a steep rise in the rankings reflects that. Worryingly for her opponents, the midfielder is still nowhere near her peak and it would be no surprise to see her further up this list in the future. Bonmati has been a source of goals and assists for club and country but her talent goes far beyond that, her ability to link play and see passes others cannot has allowed the Barcelona attack in front of her to flourish. Her player of the match performance – and goal – in the Champions League final demonstrated what she can do on the biggest stage."
11,"25","14","Magdalena Eriksson","Defender","Chelsea","Barclays FA Women's Super League",28,"Sweden","https://media.guim.co.uk/d1fdc18c42fc649b90d4062aef86d9ea26d0642a/438_136_914_914/500.jpg","https://media.guim.co.uk/9cdd344112603314fe2682af0eacc91f8324b95e/0_239_5220_3131/500.jpg","The influential Chelsea captain led her side through another successful year on the pitch. The 28-year-old has become one of the ultimate modern defenders, with an ability to play out from the back while remaining a solid presence at the heart of the defence for both Chelsea and Sweden. Her 2021 was full of success, as she took home Continental Cup and Women’s Super League medals, as well as winning a silver medal with Sweden and it could have easily been gold to go with her domestic triumphs."
12,"22","10","Christiane Endler","Goalkeeper","Lyon","D1 Arkema",30,"Chile","https://media.guim.co.uk/bd311a1dd4d5b145ec4b664f4b874dea2c3e9d5c/964_35_784_784/500.jpg","https://media.guim.co.uk/a42ce925ab2d7b3df6b34ba221658888fd4b82ed/0_120_4068_2441/500.jpg","The Lyon and Chile player reaffirmed her status as the best goalkeeper in the world and her position in the top 100 this year backs it up. Her rock-solid presence between the posts helped PSG to a historic league title. Her last-minute save that knocked Lyon out of the Champions League was one of the most important saves of the year from any goalkeeper and big performances have become standard now for someone who has established herself as the No 1 of No 1s in recent years."
13,"20","7","Marie-Antoinette Katoto","Forward","PSG","D1 Arkema",23,"France","https://media.guim.co.uk/90046d8f5c81392480e7b36e8f2d20f988b2d316/542_90_718_717/500.jpg","https://media.guim.co.uk/cad89bab3ff94c95ee1b8604c09d39ec4a2d5d76/0_239_3275_1965/500.jpg","Katoto is well on her way to becoming one of the best strikers in the world at the age of only 23. Katoto took her game up another level in 2021 and not only has the stats but now the silverware to show for it. Her 21 goals come the end of last season saw her well clear of anyone else (other than Khadija Shaw) in Division 1 Arkema and played a huge part in PSG finally prising away the league title from Lyon. Katoto has become the attack leader for both PSG and France, already leads the scoring charts domestically this season and has nine goals in France’s first six World Cup qualifiers."
14,"70","56","Ashley Lawrence","Defender","PSG","D1 Arkema",26,"Canada","https://media.guim.co.uk/721d5ad7c7e57e5b88bd47a47a9dd8a82a32fc42/2307_17_842_841/500.jpg","https://media.guim.co.uk/e39c4314a7c0309f8a669991e69edd803d398e55/227_239_3271_1963/500.jpg","What a year at both domestic and international level for a player who has perhaps gone under the radar in the past, but not this year as Lawrence flies up the rankings for 2021. Whether it’s been at left-back, centre-back or in midfield, Lawrence’s versatility is only one trait that stands her apart, but her ability to shine in all of them means it’s no coincidence she won major tournaments with both PSG and Canada this year. Topping Lyon domestically was followed up with a gold medal in Tokyo."
15,"4","-11","Wendie Renard","Defender","Lyon","D1 Arkema",31,"France","https://media.guim.co.uk/15199742c5ed1fcb0d58bb1b976bb5d8faf82dbf/864_172_938_938/500.jpg","https://media.guim.co.uk/e91022a52a9615eef7a3ad56e16f80981fddea1f/0_16_1108_664/500.jpg","The Lyon and France leader continues to be one of the most imposing defenders in the game but drops out of our top 10 in 2021. Renard started the year on an incredible run of scoring in five consecutive games and there are few players anywhere who offer the aerial threat of the centre-back. Lyon did not enjoy their usual success this year but Renard forged a fine partnership with Kadeisha Buchanan in the continued absence of Griedge Mbock and overall enjoyed another solid calendar year."
16,"37","21","Mapi León","Defender","Barcelona","Primera Iberdrola",26,"Spain","https://media.guim.co.uk/38d450c4fb412fb0002bd44d1de455934eec8757/1499_123_1354_1354/500.jpg","https://media.guim.co.uk/5706310369f4732ec342c8a6687d38a12f24bf55/0_33_4904_2945/500.jpg","It was another impressive year for a defender who has become one of the best in the world. Whether it’s her ability to play out from the back or help her team keep clean sheets, Mapi has it all and her new partnership with international teammate Irene Paredes at Barcelona has only helped Europe’s top club to new heights. Her consistent performances at the heart of the defence helped her side to a historic treble in 2021 and at 26 there’s time for Mapi to get even better."
17,"110","Re-entry","Stina Blackstenius","Forward","Häcken","OBOS Damallsvenskan",25,"Sweden","https://media.guim.co.uk/f3974431d1cbec969fdec9803d3b3f9fe8945d4b/1113_167_1536_1536/500.jpg","https://media.guim.co.uk/0d9b08a4ecd6b7bc768ebe800b727b7f8fe6dd05/0_118_4292_2575/500.jpg","Not for the first time, Blackstenius came alive at the Olympics, surpassing the breakout tournament she enjoyed in Rio in 2016. Her two-goal display in an opening win against the USA was a huge moment for the striker and she followed that up with three more goals, including one against Canada in the final. Blackstenius is fast becoming one of the most well-rounded forwards in the game and she scored an impressive 17 goals in 21 games for Häcken in this year’s Damallsvenskan."
18,"31","13","Christine Sinclair","Forward","Portland Thorns","NWSL",38,"Canada","https://media.guim.co.uk/781b162d0c4d4230726313899e3c2b19d08c8572/490_186_1043_1042/500.jpg","https://media.guim.co.uk/13f37069168c31a05ccd581da4c3975957f6c01b/0_159_4500_2700/500.jpg","No one could begrudge the great Christine Sinclair finally winning gold with her country in Tokyo during the summer. The 38-year-old has been a mainstay for Canada for so long now and finally got her hands on a gold medal at perhaps the final time of asking. She also helped Portland Thorns to the NWSL Shield in what has been a successful year on a personal level for the great forward, who consistently chipped in with goals and assists for her club."
19,"28","9","Kim Little","Midfielder","Arsenal","Barclays FA Women's Super League",31,"Scotland","https://media.guim.co.uk/be9431b26740f2a5e829e2dafc50740e1b619368/637_554_805_805/500.jpg","https://media.guim.co.uk/cfd1a6dd57d964b4f9f4fc9ea9859e5e4d5ed105/0_125_3455_2072/500.jpg","Six goals in eight WSL appearances this season at the time of writing suggests Little has no appetite for slowing down anytime soon. She has appeared rejuvenated under the new Arsenal manager, Jonas Eidevall, and showed her talent on the world stage representing Team GB over the summer, where she slotted into a side made up of primarily English players as if she had been with them all her life. There are still very few who display the game intelligence Little does and she is now right back in the goals too."
20,"15","-5","Sam Mewis","Midfielder","North Carolina Courage","NWSL",29,"USA","https://media.guim.co.uk/a69bf24de005dee02ae0d5afda9461873621c5bd/635_103_611_611/500.jpg","https://media.guim.co.uk/3a2be1aa1470b76f8d238a613c748da28aa53b5b/0_166_7636_4581/500.jpg","Mewis’s highlights largely came in the first half of the year, starting with her opener in the FA Cup final with a trademark header. Mewis went on to end her season in Manchester as one of the best in the league and her five goals in Europe made her joint-second in the rankings. Six goals through the year for the USA, including one at the Olympics, was a solid return for a player who sadly missed much of the second half of 2021 after requiring surgery upon returning to North Carolina."
21,"73","52","Sandra Paños","Goalkeeper","Barcelona","Primera Iberdrola",29,"Spain","https://media.guim.co.uk/ce9aee7fe30c6374378bb95f8f93bac427c942ef/870_0_1035_1035/500.jpg","https://media.guim.co.uk/8a62d662cb775f4aa52df59aeb82fc98f8c3ad09/0_312_5085_3051/500.jpg","Paños shoots up the rankings this year and deservedly so. While the Barcelona centre-back pairing is well-known and the team’s attack has dominated Europe this year, Paños has played a more than valuable role between the posts and has established herself as Spain’s No 1. Last season, Paños conceded only 17 goals in 32 matches and did not concede in the league until December 2020, a remarkable feat. She made a big penalty save against Manchester City in the Champions League quarter-finals and went on to keep a clean sheet in the final."
22,"16","-6","Ji So-yun","Midfielder","Chelsea","Barclays FA Women's Super League",30,"South Korea","https://media.guim.co.uk/286c6a8f753605fc491198ee12bdf715784d219e/2105_199_1405_1405/500.jpg","https://media.guim.co.uk/063346736445d77535af12a38086353fe7b374f4/0_238_4688_2813/500.jpg","Ji may be getting older and not influencing games in terms of goals herself anymore, but she remains one of the very best at dictating games and has continued to play a key role in Chelsea’s success. While Kirby and Kerr take most of the plaudits for their connection, it’s uncanny how many of their goals are started by Ji’s ability to dictate in midfield. Still capable of a killer assist, as she showed recently against Aston Villa, the Fifa Best nominee is still at the top of her game."
