"year","rank","name","position","age","nationality","club","league"
"2018",1,"Pernille Harder","Forward",26,"Denmark","Wolfsburg","Frauen Bundesliga"
"2018",2,"Sam Kerr","Forward",25,"Australia","Perth Glory","W-League"
"2018",3,"Ada Hegerberg","Forward",23,"Norway","Lyon","Division 1 Féminine"
"2018",4,"Lucy Bronze","Defender",27,"England","Lyon","Division 1 Féminine"
"2018",5,"Eugénie Le Sommer","Forward",29,"France","Lyon","Division 1 Féminine"
"2018",6,"Amandine Henry","Midfielder",29,"France","Lyon","Division 1 Féminine"
"2018",7,"Alex Morgan","Forward",29,"USA","Orlando Pride","NWSL"
"2018",8,"Wendie Renard","Defender",28,"France","Lyon","Division 1 Féminine"
"2018",9,"Lieke Martens","Forward",25,"Netherlands","Barcelona","La Liga Iberdrola"
"2018",10,"Megan Rapinoe","Midfielder",33,"USA","Seattle Reign","NWSL"
"2018",11,"Dzsenifer Marozsán","Midfielder",26,"Germany","Lyon","Division 1 Féminine"
"2018",12,"Lindsey Horan","Midfielder",24,"USA","Portland Thorns","NWSL"
"2018",13,"Fran Kirby","Forward",25,"England","Chelsea","WSL"
"2018",14,"Marta","Forward",32,"Brazil","Orlando Pride","NWSL"
"2018",15,"Vivianne Miedema","Forward",22,"Netherlands","Arsenal","WSL"
"2018",16,"Christine Sinclair","Forward",35,"Canada","Portland Thorns","NWSL"
"2018",17,"Ramona Bachmann","Forward",27,"Switzerland","Chelsea","WSL"
"2018",18,"Saki Kumagai","Midfielder",28,"Japan","Lyon","Division 1 Féminine"
"2018",19,"Alexandra Popp","Midfielder",27,"Germany","Wolfsburg","Frauen Bundesliga"
"2018",20,"Caroline Graham Hansen","Midfielder",23,"Norway","Wolfsburg","Frauen Bundesliga"
"2018",21,"Crystal Dunn","Forward",26,"USA","North Carolina Courage","NWSL"
"2018",22,"Amel Majri","Midfielder",25,"France","Lyon","Division 1 Féminine"
"2018",23,"Kim Little","Midfielder",28,"Scotland","Arsenal","WSL"
"2018",24,"Jordan Nobbs","Midfielder",25,"England","Arsenal","WSL"
"2018",25,"Tobin Heath","Midfielder",30,"USA","Portland Thorns","NWSL"
"2018",26,"Nilla Fischer","Defender",34,"Sweden","Wolfsburg","Frauen Bundesliga"
"2018",27,"Ewa Pajor","Forward",22,"Poland","Wolfsburg","Frauen Bundesliga"
"2018",28,"Jess Fishlock","Midfielder",31,"Wales","Lyon","Division 1 Féminine"
"2018",29,"Daniëlle van de Donk","Midfielder",27,"Netherlands","Arsenal","WSL"
"2018",30,"Shanice van de Sanden","Forward",26,"Netherlands","Lyon","Division 1 Féminine"
"2018",31,"Sara Björk Gunnarsdóttir","Midfielder",28,"Iceland","Wolfsburg","Frauen Bundesliga"
"2018",32,"Julie Ertz","Midfielder",26,"USA","Chicago Red Stars","NWSL"
"2018",33,"Jackie Groenen","Midfielder",23,"Netherlands","Frankfurt","Frauen Bundesliga"
"2018",34,"Nadia Nadim","Forward",30,"Denmark","Manchester City","WSL"
"2018",35,"Becky Sauerbrunn","Defender",33,"USA","Utah Royals","NWSL"
"2018",36,"Jodie Taylor","Forward",32,"England","Seattle Reign","NWSL"
"2018",37,"Steph Houghton","Defender",30,"England","Manchester City","WSL"
"2018",38,"Sara Däbritz","Midfielder",23,"Germany","Bayern Munich","Frauen Bundesliga"
