"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.1.Dec.2020","sheets.players.League","sheets.players.Age.on.1.Dec.2020","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Words","sheets.players.Desked.by","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"1","8","7","Pernille Harder","Forward","Chelsea","WSL","28","Denmark","Other nationalities, WSL, Forwards","","","https://media.guim.co.uk/f34f2eee0da5570b7244de2fc4ea6a97982fdc17/2294_793_1013_1013","cropRatio=1013,1013&size=140,500,1000,1013","https://media.guim.co.uk/3921cff8d7cd7c140127a79879ff3c2cfe57d488/0_154_3158_1895","cropRatio=3158,1895&size=140,500,1000,2000,3158","","Harder becomes the first two-time winner of the top 100 and returns to No 1 after her previous top ranking, in 2018. It’s hard to argue with too. With 12 goals from December on, including five after the Bundesliga restarted, she was again the key influence in Wolfsburg’s title defence and her stunning four-goal haul against Glasgow City in the Champions League quarter-final helped push her side towards another final. It didn’t end in the way she would have wanted before making a move to Chelsea for a world record transfer fee, just after being named women’s footballer of the year in Germany. Also named Uefa’s player of the year, Harder found the net five times for Denmark and had already hit the mark twice in Chelsea blue by the start of December. Aside from her goals, no player in Europe created more chances than Harder this year, making her the ultimate all-round forward and once more the best player in the world.","RL","","","JA","TD","header-image-day-1_alligator.png"
"2","6","4","Vivianne Miedema","Forward","Arsenal","WSL","24","Netherlands","Dutch, WSL, Forwards","","","https://media.guim.co.uk/903c3d5f97b88f4443071804a8127b5fad93d270/968_284_1826_1826","cropRatio=1826,1826&size=140,500,1000,1826","https://media.guim.co.uk/55cdaf2ac20e1acca8ed292ab27206de9ac4e382/0_113_2912_1748","cropRatio=2912,1748&size=140,500,1000,2000,2912","","Miedema records her best ever ranking after another superb year. The Arsenal striker is a goalscoring and assist machine. Not only did she win the Golden Boot in the WSL last season but she also recorded the most assists, extraordinary for someone so well-known for her finishing skills. Her performance early in the year in which she scored six and created four in an 11-1 Arsenal win over Bristol City was the best individual performance the league has seen, and she has shown no signs of slowing down. The fact she raced to 10 goals in only seven league games at the start of this season should be seen as ridiculously impressive, but it has just become standard now for Miedema. Her movement, touch and sixth sense to be in the right place at the right time makes what she does look easy when it’s anything but. An incredible footballer.","RL","","","JA","TD","header-image-day-1_alligator.png"
"3","2","-1","Lucy Bronze","Defender","Manchester City","WSL","29","England","English, WSL, Defenders","","","https://media.guim.co.uk/17045a705d3ff1e65ae293662ab716e2acac16f5/654_93_1261_1261","cropRatio=1261,1261&size=140,500,1000,1261","https://media.guim.co.uk/a24bd6fcf71562616328d8c9f8117539df6d082b/0_80_2752_1651","cropRatio=2752,1651&size=140,500,1000,2000,2752","","Bronze again reaches the top three but drops one place from last year. She returned to the WSL to rejoin Manchester City, but not before sealing another treble and a third Champions League title with Lyon. While some perhaps think Bronze is no longer hitting the ridiculously high standards of a few years ago, her attacking stats say differently. Her agility and athleticism make her the ideal full-back and no one in her position recorded more assists throughout 2020, while she’s remained a more than solid defender. She has had to adapt to a new way of playing since returning home, but her marauding run to score against Bristol City was more than familiar to those who watched her in the league before her switch to Lyon. Named BBC’s Women’s Footballer of the Year, Bronze definitely remains one of the very best.","RL","","","JA","TD","header-image-day-1_alligator.png"
"4","9","5","Wendie Renard","Defender","Lyon","Division 1 Féminine","30","France","French, Division 1 Feminine, Defenders","","","https://media.guim.co.uk/05cbdac1168015aec443fd574e6a4f6362e6c9f6/1086_79_1760_1760","cropRatio=1760,1760&size=140,500,1000,1760","https://media.guim.co.uk/0a662910f17c97de8524b245ebe56df01515b8e4/0_96_2514_1508","cropRatio=2514,1508&size=140,500,1000,2000,2514","","In 2020 the indomitable Renard won her 14th straight league title, her fifth straight Champions League and seventh in all. Renard was named the Champions League defender of the season and not only is she a rock at the back, with her imposing stature making for the ideal centre-back, she is also more than composed on the ball and uses her qualities to pose an attacking threat too. She is tied for the most shots on target anywhere in the world for a centre-back throughout the year, and with four goals and two assists by the start of December this season, her stats would make you think she was a forward rather than a defender. She also has a knack for popping up at big moments, such as scoring the winner against PSG in the Champions League semi-final. All in all, another more than solid year for our top centre-back.","RL","","","JA","TD","header-image-day-1_alligator.png"
"5","13","8","Dzsenifer Marozsán","Midfielder","Lyon","Division 1 Féminine","28","Germany","German, Division 1 Féminine, Midfielders","","","https://media.guim.co.uk/76644489a589a649eb904d00b22b65ab1f8c286d/1071_49_554_554","cropRatio=554,554&size=140,500,554","https://media.guim.co.uk/82f7ea8a9ece685df6f676796e0368b4e1bd83aa/0_159_5184_3110","cropRatio=5184,3110&size=140,500,1000,2000,5184","","Lyon and Germany’s most creative player roars back into the top 10 after another great year. Her goals this year have made a big contribution to Lyon’s dominance in 2020 and her performances in Europe led to her being named the Champions League midfielder of the season. The fact her assists stats are even more impressive show she has it all in an attacking sense. Marozsán ended last season with 13 assists and by the start of December already had three goals and three assists in the new season. Unsurprisingly, she ranked in the top three central midfielders throughout the year for chances created and she appears to be getting better and better. With the calmness of the more defensive duo of Amandine Henry and Saki Kumagai behind, Marozsán has the licence to go and unpick the defences trying to stop the unstoppable Lyon force.","RL","","","JA","TD","header-image-day-1_alligator.png"
"6","5","-1","Amandine Henry","Midfielder","Lyon","Division 1 Féminine","31","France","French, Division 1 Feminine, Midfielders","","","https://media.guim.co.uk/01e9d3574e06779247db3f9d9b46e724bd4e2ab8/220_127_1715_1715","cropRatio=1715,1715&size=140,500,1000,1715","https://media.guim.co.uk/284fcecc050e6cfbcbda7ec005042de15ed2e4ac/123_296_3443_2066","cropRatio=3443,2066&size=140,500,1000,2000,3443","","Sixth in 2018, fifth in 2019 and sixth again this year, Henry’s consistently high rankings matches the consistency of her performances. She doesn’t often get the plaudits that go to some of Lyon’s more attacking players, but her role within the team is vital. Henry has never been about scoring goals, although she has already scored a couple this season, but about dictating games with the tempo she sets in midfield. Her ability to read games and find the space that allows her to find her teammates in attacking positions is crucial to how Lyon play and without Henry they are a poorer team. Henry is never rushed, her intelligence means she always has the time to play the way she wants. With another treble behind her, she’s also fast becoming one of the most decorated players in the game.","RL","","","JA","TD","header-image-day-1_alligator.png"
"7","1","-6","Sam Kerr","Forward","Chelsea","WSL","27","Australia","Australian, WSL, Forwards","","","https://media.guim.co.uk/70241f27c822b873f8e64c9d391b59ffac12d9f5/1571_121_1028_1029","cropRatio=1028,1029&size=500,1000,1028","https://media.guim.co.uk/bc443bbb48984e40eb19e73b7a8135c3c7bb1bf3/0_225_5103_3062","cropRatio=5103,3062&size=140,500,1000,2000,5103","","Last year’s winner drops this season after embarking on a new challenge with the WSL champions Chelsea. Leaving behind the NWSL where she dominated the scoring charts, Kerr’s start to life in England, during which she scored with a towering header against Arsenal, was hit by the Covid-19 pandemic after only four games. Since Chelsea’s return to action she has taken on a more creative role, and as of November no player had created more chances in the WSL this season. While she will have been disappointed with some missed chances, Kerr scored three times in the WSL early on in the campaign and looks to be adapting to the slightly different role Emma Hayes has given her. On the international stage, Kerr hit four goals for Australia in Olympic qualifying. ","RL","","","JA","TD","header-image-day-1_alligator.png"
"8","15","7","Caroline Graham Hansen","Midfielder","Barcelona","Liga Iberdrola","25","Norway","Other nationalities, Liga Iberdrola, Midfielders","","","https://media.guim.co.uk/47db88ab05d345cf26d8ab7b1129ff692972469b/1090_46_961_962","cropRatio=961,962&size=500,961","https://media.guim.co.uk/86ad13032f52243a219fa390bad6dff7019d9df6/0_255_5050_3030","cropRatio=5050,3030&size=140,500,1000,2000,5050","","Another player who deservedly climbs to her highest ranking and inside the top 10 for the first time. While all eyes over the years have been on the creative players running Lyon’s midfield, Barcelona’s Graham Hansen is pushing to be known as the best. With nine assists last season, Graham Hansen created six goals in her first six league games this season, putting her well on target to improve on her 2019-20 tally. More than capable of chipping in with goals for club and country, she has created more chances than any other player bar Pernille Harder in 2020. Her elegance on the ball and ability to glide past players and play a killer pass set her apart as one of the best .","RL","","","JA","TD","header-image-day-1_alligator.png"
"9","11","2","Julie Ertz","Midfielder","Chicago Red Stars","NWSL","28","USA","American, NWSL, Midfielders","","","https://media.guim.co.uk/2062df52b9a0f8485e515073f1afb0befd164dfa/799_129_1014_1014","cropRatio=1014,1014&size=140,500,1000,1014","https://media.guim.co.uk/833c796c64379f6ebd50258e4da5d55554eeb1d2/814_140_2559_1536","cropRatio=2559,1536&size=140,500,1000,2000,2559","","A first year inside the top 10 for Ertz was made all the more impressive given the NWSL’s reduced schedule, but that’s just how impactful her performances have become. She is now up there as one of the best in the world for her tackling and her ability to win the ball back with her energy and agility. Few have perfected the art of the defensive midfield role like Ertz as, while she is capable of playing centre-back and still does on occasion. Ertz remained a key player for the USA in 2020 and was a vital figure for Chicago Red Stars during the Challenge Cup, but decided to opt out of the Fall Series. She is now starting to get the recognition she richly deserves.","RL","","","JA","TD","header-image-day-1_alligator.png"
"10","72","62","Delphine Cascarino","Midfielder","Lyon","Division 1 Féminine","23","France","French, Division 1 Feminine, Midfielders","","","https://media.guim.co.uk/3346b54c21578c08268530ad91c89947fafddc45/540_462_1526_1525","cropRatio=1526,1525&size=140,500,1000,1526","https://media.guim.co.uk/7e1f429d613df4a967f9799e426dbb60450159eb/0_152_4352_2613","cropRatio=4352,2613&size=140,500,1000,2000,4352","","Cascarino is one of the biggest movers in the 100 this year, shooting deservedly into the top 10. There’s so much more to come from the 23-year-old but she’s already one of the most dangerous wingers on the planet. No one in 2020 has completed more dribbles than Cascarino and her talent was evident in the Champions League final against Wolfsburg, where she was a constant threat and created several clear chances for her teammates. By the start of December she already had six assists in the French league this season. Her lightning pace, skill and ability to beat her marker makes her a critical player for both club and country, and with a nomination at Fifa's The Best awards behind her it’s not wild to imagine Cascarino climbing the rankings further in years to come.","RL","","","JA","TD","header-image-day-1_alligator.png"
