"year","rank","name","position","age","nationality","club","league"
"2012",1,"Lionel Messi","Forward",25,"Argentina","Barcelona","Spain"
"2012",2,"Cristiano Ronaldo","Forward",27,"Portugal","Real Madrid","Spain"
"2012",3,"Xavi","Midfielder",32,"Spain","Barcelona","Spain"
"2012",4,"Andres Iniesta","Midfielder",28,"Spain","Barcelona","Spain"
"2012",5,"Zlatan Ibrahimovic","Forward",31,"Sweden","Paris Saint-Germain","France"
"2012",6,"Radamel Falcao","Forward",26,"Colombia","Atlético Madrid","Spain"
"2012",7,"Robin van Persie","Forward",29,"Netherlands","Manchester United","England"
"2012",8,"Andrea Pirlo","Midfielder",33,"Italy","Juventus","Italy"
"2012",9,"Yaya Toure","Midfielder",27,"Ivory Coast","Manchester City","England"
"2012",10,"Edinson Cavani","Forward",25,"Uruguay","Napoli","Italy"
"2012",11,"Sergio Aguero","Forward",24,"Argentina","Manchester City","England"
"2012",12,"Iker Casillas","Goalkeeper",31,"Spain","Real Madrid","Spain"
"2012",13,"Neymar","Forward",20,"Brazil","Santos","Brazil"
"2012",14,"Sergio Busquets","Defender/midfielder",24,"Spain","Barcelona","Spain"
"2012",15,"Xabi Alonso","Midfielder",31,"Spain","Real Madrid","Spain"
"2012",16,"Thiago Silva","Defender",28,"Brazil","Paris Saint-Germain","France"
"2012",17,"Mesut Ozil","Midfielder",24,"Germany","Real Madrid","Spain"
"2012",18,"David Silva","Midfielder/forward",26,"Spain","Manchester City","England"
"2012",19,"Bastian Schweinsteiger","Midfielder",28,"Germany","Bayern Munich","Germany"
"2012",20,"Gianluigi Buffon","Goalkeeper",34,"Italy","Juventus","Italy"
"2012",21,"Luis Suarez","Forward",25,"Uruguay","Liverpool","England"
"2012",22,"Sergio Ramos","Defender",26,"Spain","Real Madrid","Spain"
"2012",23,"Vincent Kompany","Defender",26,"Belgium","Manchester City","England"
"2012",24,"Gerard Pique","Defender",25,"Spain","Barcelona","Spain"
"2012",25,"Philipp Lahm","Defender",29,"Germany","Bayern Munich","Germany"
"2012",26,"Willian","Midfielder",24,"Brazil","Shakhtar Donetsk","Ukraine"
"2012",27,"Marco Reus","Forward",23,"Germany","Borussia Dortmund","Germany"
"2012",28,"Franck Ribery","Midfielder",29,"France","Bayern Munich","Germany"
"2012",29,"Manuel Neuer","Goalkeeper",26,"Germany","Bayern Munich","Germany"
"2012",30,"Ashley Cole","Defender",32,"England","Chelsea","England"
"2012",31,"Wayne Rooney","Forward",27,"England","Manchester United","England"
"2012",32,"Juan Mata","Midfielder",24,"Spain","Chelsea","England"
"2012",33,"Thomas Muller","Forward",23,"Germany","Bayern Munich","Germany"
"2012",34,"Mario Götze","Midfielder/forward",20,"Germany","Borussia Dortmund","Germany"
"2012",35,"Karim Benzema","Forward",24,"France","Real Madrid","Spain"
"2012",36,"Cesc Fabregas","Midfielder",25,"Spain","Barcelona","Spain"
"2012",37,"Oscar","Midfielder",21,"Brazil","Chelsea","England"
"2012",38,"Fernandinho","Midfielder",27,"Brazil","Shakhtar Donetsk","Ukraine"
"2012",39,"Javier Mascherano","Defender/midfielder",28,"Argentina","Barcelona","Spain"
"2012",40,"Gareth Bale","Defender",23,"Wales","Tottenham Hotspur","England"
"2012",41,"Javier Zanetti","Defender/midfielder",39,"Argentina","Internazionale","Italy"
"2012",42,"Daniele De Rossi","Midfielder",29,"Italy","Roma","Italy"
"2012",43,"Dani Alves","Defender",29,"Brazil","Barcelona","Spain"
"2012",44,"Petr Cech","Goalkeeper",30,"Czech Republic","Chelsea","England"
"2012",45,"Mats Hummels","Defender",24,"Germany","Borussia Dortmund","Germany"
"2012",46,"Carles Puyol","Defender",34,"Spain","Barcelona","Spain"
"2012",47,"Angel Di Maria","Midfielder",24,"Argentina","Real Madrid","Spain"
