"Rank","Last.year","Up.or.down","Name","Position","Position.modifier","Club.on.20.Dec.2021","League","Age.on.20.Dec.2021","Nationality","Facewall.cell.image.GRID.src","Facewall.main.image.GRID.src","Profile","Writer"
1,1,"-","Robert Lewandowski","Forward","CENTRE","Bayern Munich","Germany",33,"Poland","https://media.guim.co.uk/76e46c2275ced995ebcd6c3961e4e201debdba3d/1208_163_999_999/500.jpg","https://media.guim.co.uk/eb9f71303753292960212576e6db123d99138a96/0_23_3500_2101/500.jpg","The Pole becomes the first player to retain top spot since Lionel Messi in 2013, featuring on every judges’ list this year and topping 115 out of 219 votes cast. And it's no surprise – his goalscoring feats continue to defy logic. By mid-December he had scored 66 goals in 57 competitive games for club and country. At the end of the 2020-21 season he won his seventh Bundesliga title but Bayern were not able to repeat their Champions League triumph, going out to Paris Saint-Germain in the quarter-finals; tellingly Lewandowski was injured for the two games against the French side. The Bayern Munich manager, Julian Nagelsmann, says: “I think Lewy can achieve a lot, also at an older age, because of his physique, lifestyle and the way he lives as a footballer.” He is destined to be back on the list next year, possibly as a winner for a third consecutive year.","Marcus Christenson"
2,2,"-","Lionel Messi","Forward","CENTRE","Paris Saint-Germain","France",34,"Argentina","https://media.guim.co.uk/a2b711f84b594c3c954d9f5b4e609de626d7b2d6/286_21_1481_1480/500.jpg","https://media.guim.co.uk/93b20af79ece9134319fcfa8ae5ef245441c578f/0_123_2048_1229/500.jpg","For many, not least the man himself, this summer’s Copa América triumph will have been the defining moment of the Argentinian’s year, perhaps more so than his sensational move to PSG or his much-contested Ballon d’Or win. Messi nevertheless ended last season as La Liga’s top scorer and won another Copa del Rey, propping up a feckless Barcelona and once again justifying his uninterrupted presence in this rankings' top three. His time in Paris has been more muted, albeit punctuated by moments of magic such as his first goal for the club, against Manchester City. His stellar Champions League performances remain the one constant from his Catalan years – but PSG won’t mind that if he can propel them to the big prize next year.","Raphaël Jucobin"
3,8,"5","Mohamed Salah","Forward","RIGHT","Liverpool","England",29,"Egypt","https://media.guim.co.uk/5cf11e3ef6ab21429b58024e2bc96c58077e3e84/644_66_789_789/500.jpg","https://media.guim.co.uk/df77f4c4068f4c1dd35e67a4d1b2ccce17eedd8c/0_220_3543_2125/500.jpg","Seventh in the Ballon d'Or and not even on the shortlist for the 2021 Fifpro men's world XI – a prize voted for by fellow professionals – Liverpool's phenomenal goalscorer is up five places to his highest ever position on our list. Last season may have been a toil for his club but Salah's individual contribution to a campaign that secured Champions League qualification remained immense, with 31 goals in total. He is on course to easily surpass that tally this term, having become the first Liverpool player since Ian Rush in the 1980s to hit the 20-goal mark in five successive seasons. The Egypt international's outstanding form has prompted Jürgen Klopp to call him the best player in the world.","Andy Hunter"
4,12,"8","Karim Benzema","Forward","CENTRE","Real Madrid","Spain",34,"France","https://media.guim.co.uk/2c561665bb8bb2de6bbd7e0d0ae93be5f119e94f/1885_157_943_943/500.jpg","https://media.guim.co.uk/e00fec4ad91cafa9957ebaa4af4ec15a0a688e59/0_77_1513_908/500.jpg","Back in the France team, despite the case against him for blackmailing finally coming to court and ending with a guilty verdict. On the pitch, Benzema has reached a level unreachable for most footballers – and for many years spent in service to others, even for him. With 18 goals and eight assists already this season at the time of writing, the stats provide the headline and the watertight case, but it’s not really that; it’s that everything he does, he does well, a forward of impeccable intelligence and technique on the pitch.","Sid Lowe"
5,NA,"Re-entry","Jorginho","Midfielder","CENTRE","Chelsea","England",30,"Italy","https://media.guim.co.uk/20d83cde943e398fd642a9ed92a7cf9d177ab044/678_91_986_986/500.jpg","https://media.guim.co.uk/64e0635ea92c2ba75b29f0549e9d1bedb3cfadb3/111_551_2648_1588/500.jpg","Few people would have anticipated the midfielder being a Ballon d’Or contender at the start of the year. He was in and out of the Chelsea team under Frank Lampard and had still not shaken off the associations with Sarriball. Now, though, nobody doubts Jorginho’s class. The 30-year-old took his game to new heights after Thomas Tuchel replaced Lampard and he did not slow down after helping Chelsea win the Champions League. Jorginho was a controlling presence for Italy at Euro 2020 and he had an exceptional game when they beat England in the final. Just don’t remind him about missing a penalty in the shootout.","Jacob Steinberg"
6,7,"1","Kylian Mbappé","Forward","CENTRE","Paris Saint-Germain","France",23,"France","https://media.guim.co.uk/6c0a5cbd5594bfc951d5ae67ded7584611478c9e/1001_896_1326_1327/500.jpg","https://media.guim.co.uk/819610b26a289a94ad09dcf36bb2dcb465e83a86/94_100_2788_1673/500.jpg","The ignominy of France’s exit from the European Championship notwithstanding, Mbappé remains a brilliant presence for club and country. He rebounded brilliantly from his summer disappointment to lead France to the Nations League title, and has PSG poised to win Ligue 1 by a record margin. Still only 23, his game continues to develop as well; at the time of writing he has the most assists in France this season and, with another four in the Champions League, has become both the attacking focal point and creative hub of the capital side. Whether he leaves Paris next summer remains to be seen, but for now he continues to be as electric and compelling a presence on the pitch as ever.","Eric Devin"
7,6,"-1","Erling Haaland","Forward","CENTRE","Borussia Dortmund","Germany",21,"Norway","https://media.guim.co.uk/faf5e9beaa3fe6fa2ff3bbdfc2483c78bfa8eba2/662_0_1200_1200/500.jpg","https://media.guim.co.uk/c7168d128debe58b4fb5e8833e209eb38c1bae7c/57_52_5172_3104/500.jpg","There was a lot of speculation over whether the Norwegian would leave Dortmund last summer but, having sold Jadon Sancho to Manchester United, the Bundesliga club did not contemplate selling their main asset. The 21-year-old continues to average roughly a goal a game for club and country, his consistency remarkable for a player so young. He was injured for a spell in late October and November and during that period Borussia Dortmund lost so much ground in their Champions League group that they were eliminated. He may drop a place in our rankings but he was only nine points behind Kylian Mbappé. He made 211 out of 219 voting slips this year and two judges had him as the best player in the world in 2021. Maybe he is not quite there yet, but there is no reason why he can’t be in the future.","Marcus Christenson"
8,3,"-5","Cristiano Ronaldo","Forward","CENTRE","Manchester United","England",36,"Portugal","https://media.guim.co.uk/0d1bc4792b2679d417faebbf48789fb47e2158c1/1119_116_2997_2997/500.jpg","https://media.guim.co.uk/9f4b08bfa0be6ec314230006c77e092c2939f8c5/54_106_3538_2123/500.jpg","The debate that swirls around Cristiano Ronaldo being able to press at 36 shows where the game is five years on from the arrival at Manchester United of a far more static, totem No 9 – Zlatan Ibrahimovic. The latter was two years younger and there was zero debate about his ability out of possession. Now, particularly with Ralf ""godfather of pressing"" Rangnick as United’s interim manager, the supremely talented Portuguese is viewed via the narrow prism of how much he can close down. Ronaldo, simply, remains an asset. For a struggling United he has quickly reached double figures for goals this season, and was the Capocannoniere in Serie A in 2020-21 with 29.","Jamie Jackson"
9,55,"46","N'Golo Kanté","Midfielder","CENTRE","Chelsea","England",30,"France","https://media.guim.co.uk/f8a6004d8753e6706bb272204d9d9a69cc3f5b10/2944_3_1686_1687/500.jpg","https://media.guim.co.uk/f1c9897e38b2ab1987f2cb5d319813d3d6ed4ff1/0_169_5472_3283/500.jpg","The midfielder was extraordinary when Chelsea won the Champions League. He overpowered Atlético Madrid and Real Madrid en route to the final and was man of the match when Manchester City were beaten in Porto.“He is a super man,” Thomas Tuchel says. “The guy everyone in the whole world wants in his midfield.” The only problem, though, is that Kanté is not in Chelsea’s midfield enough. He has struggled to stay fit since 2019 and has been in and out this season. It is just as well that he was ready to face City. Chelsea would not have become European champions without him.","Jacob Steinberg"
10,4,"-6","Kevin De Bruyne","Midfielder","CENTRE","Manchester City","England",30,"Belgium","https://media.guim.co.uk/3d96736efdc7c98f816fc0134d1d5a5a760e1b54/582_101_1016_1016/500.jpg","https://media.guim.co.uk/23be5bebe9c0bcfbb155b91cce9208bfcca42a5f/0_153_4053_2433/500.jpg","Ended the Premier League season as a champion, being an instrumental part of Manchester City’s Premier League triumph thanks to his 12 assists and six goals as he pulled the strings from central midfield. The figures might not look phenomenal but he featured in only 25 matches. The Belgian will have been left frustrated that he failed to add to his silverware haul after suffering facial fractures in the Champions League final defeat to Chelsea, which ensured he was not fully fit for the European Championship as Belgium went out in the quarter-finals.","Will Unwin"
