"No","Name","Position","Club","Nationality","Age.at.Dec.20.2012"
"1","Lionel Messi","Forward","Barcelona","Argentina","25"
"2","Cristiano Ronaldo","Forward","Real Madrid","Portugal","27"
"3","Xavi","Midfielder","Barcelona","Spain","32"
"4","Andres Iniesta","Midfielder","Barcelona","Spain","28"
"5","Zlatan Ibrahimovic","Forward","PSG","Sweden","31"
"6","Radamel Falcao","Forward","Atletico Madrid","Colombia","26"
"7","Robin van Persie","Forward","Man Utd","Netherlands","29"
"8","Andrea Pirlo","Midfielder","Juventus","Italy","33"
"9","Yaya Toure","Midfielder","Man City","Ivory Coast","27"
"10","Edinson Cavani","Forward","Napoli","Uruguay","25"
"11","Sergio Aguero","Forward","Man City","Argentina","24"
"12","Iker Casillas","Goalkeeper","Real Madrid","Spain","31"
"13","Neymar","Forward","Santos","Brazil","20"
"14","Sergio Busquets","Defender/midfielder","Barcelona","Spain","24"
"15","Xabi Alonso","Midfielder","Real Madrid","Spain","31"
"16","Thiago Silva","Defender","PSG","Brazil","28"
"17","Mesut Ozil","Midfielder","Real Madrid","Germany","24"
"18","David Silva","Midfielder/forward","Man City","Spain","26"
"19","Bastian Schweinsteiger","Midfielder","Bayern Munich","Germany","28"
"20","Gianluigi Buffon","Goalkeeper","Juventus","Italy","34"
"21","Luis Suarez","Forward","Liverpool","Uruguay","25"
"22","Sergio Ramos","Defender","Real Madrid","Spain","26"
"23","Vincent Kompany","Defender","Man City","Belgium","26"
"24","Gerard Pique","Defender","Barcelona","Spain","25"
"25","Philipp Lahm","Defender","Bayern Munich","Germany","29"
"26","Willian","Midfielder","Shakhtar Donetsk","Brazil","24"
"27","Marco Reus","Forward","Borussia Dortmund","Germany","23"
"28","Franck Ribery","Midfielder","Bayern Munich","France","29"
"29","Manuel Neuer","Goalkeeper","Bayern Munich","Germany","26"
"30","Ashley Cole","Defender","Chelsea","England","32"
"31","Wayne Rooney","Forward","Man Utd","England","27"
"32","Juan Mata","Midfielder","Chelsea","Spain","24"
"33","Thomas Muller","Forward","Bayern Munich","Germany","23"
