"sheets.Sheet1.rank","sheets.Sheet1.lastyear","sheets.Sheet1.upordown","sheets.Sheet1.name","sheets.Sheet1.position","sheets.Sheet1.club","sheets.Sheet1.league","sheets.Sheet1.ageon20dec2014","sheets.Sheet1.nationality","sheets.Sheet1.birthplace","sheets.Sheet1.imagefound","sheets.Sheet1.videopath","sheets.Sheet1.mainimageurl500x500px","sheets.Sheet1.mainimageurllandscape900x506px","sheets.Sheet1.profile","sheets.Sheet1.writer","sheets.Sheet1.words","sheets.Sheet1.copyin","sheets.Sheet1.assigned","sheets.Sheet1.subbed","sheets.Sheet1.revised","sheets.Sheet1.rowNumber","updated","name"
1,"2","1","Cristiano Ronaldo","Forward","Real Madrid","La Liga",29,"Portugal","Funchal","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419186597264/Cristiano-Ronaldo-001.jpg","https://static.guim.co.uk/sys-images/Guardian/Pix/pictures/2014/12/22/1419258652271/Real-Madrid-v-Sevilla-FC--002.jpg","<a href=""http://www.theguardian.com/football/video/2014/dec/24/the-worlds-top-100-footballers-no1-cristiano-ronaldo"">In video: members of our expert panel discuss Ronaldo's year</a><br/><br/>Probably the best compliment of all is that he has beaten one of the giants of his sport into second place. Lionel Messi has taken the art of attacking football to its highest level, to the point at which it is perfectly legitimate to compare his achievement to Diego Maradona’s. <a href=""http://www.theguardian.com/football/blog/2013/nov/23/cristiano-ronaldo-ballon-dor-genius"" >Yet Cristiano Ronaldo has caught, and maybe overtaken, him as the most destructive force in world football. </a>Ronaldo doesn’t just take on opposition defences, he bludgeons them. He could score the kind of goal that George Best used to score. But then again, he could score the kind of goal that Nat Lofthouse used to score. And he could score the kind of goal that the other Ronaldo used to score. It’s a blur of speed, gelled hair and fluorescent boots and perhaps the greatest part of it all is that this is a workaholic’s career. For all his natural skill and athleticism, it gets overlooked sometimes that Ronaldo is utterly devoted to his craft. He is coming up for 30, but just try to find the first sign of decline when he is greedily accumulating goals at the prodigious rate we have seen over the past year. <a href=""http://www.theguardian.com/football/2014/oct/22/liverpool-real-madrid-champions-league"" >Ronaldo is the former Manchester United star who was clapped off by an Anfield crowd this season. </a>It is known as authentic greatness.","Daniel Taylor",300,"√ SMc","√ SMc","√ PC","√ SB",1,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
2,"1","-1","Lionel Messi","Forward","Barcelona","La Liga",27,"Argentina","Rosario","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419186494021/Lionel-Messi-001.jpg","https://static.guim.co.uk/sys-images/Guardian/Pix/pictures/2014/12/22/1419258528544/FC-Barcelona-v-Club-Leon--002.jpg","<a href=""http://www.theguardian.com/football/video/2014/dec/24/the-worlds-top-100-footballers-no2-lionel-messi"">In video: members of our expert panel discuss Messi's year</a><br/><br/>At the time of writing Lionel Messi had played 50 games for Barcelona in 2014 and scored 48 goals. He had hit the post 11 times, too, so that figure could be even higher, and he had provided 19 assists. He ends the year having just become the all-time leading scorer in La Liga and the all-time leading scorer in European competition. And that’s just for his club: he also took Argentina to the World Cup final. And yet most people have concluded that this was a bad year for Messi, which perhaps it was. It was certainly disappointing for his club, runners-up to Atlético Madrid in the league, Real Madrid in the cup and beaten by Atlético in the Champions League quarter-finals. The statistics really just hammer home the absurdly high standards Messi had set. It was a difficult season off the pitch as well as on it, with injury and tax issues, while Messi’s relationship with some on the board has been strained. Meanwhile his team fades too. In a way, maybe the surprise is that he played as well as he did, albeit still not well enough to top this chart. For some Messi is the best player of all time, but not the best player in the world in 2014: Messi slips off the top of the Guardian list for the first time. Only nine of our 73 judges ranked him as the world’s best player in 2014.","Sid Lowe",200,"√ MC","√ SMc","√ SB","√ PC",2,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
3,"22","19","Manuel Neuer","Goalkeeper","Bayern Munich","Bundesliga",28,"Germany","Gelsenkirchen","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419186404710/Manuel-Neuer-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419186453070/Manuel-Neuer-002.jpg","<a href=""http://www.theguardian.com/football/video/2014/dec/24/the-worlds-top-100-footballers-no3-manuel-neuer"">In video: members of our expert panel discuss Neuer's year</a><br/><br/>Neuer has politely rebuffed the idea that he has revolutionised goalkeeping, pointing at the influence of Jens Lehmann and Edwin van der Sar. But there is little doubt that the 28-year-old has set a new benchmark by adapting with particular brilliance to the modern demands on the position. His confidence, skill and pace allow him to come out of his area and effectively give his teams a 12th player on the pitch; Neuer is both No1 and last defender, an additional safety barrier behind the high line and an extra outlet for passes to break the opposition pressing. “Only Franz Beckenbauer was a better sweeper,” said Germany’s goalkeeping coach, Andreas Köpke, after Neuer had run six kilometres and touched the ball 21 times outside his own box in the last-16 match against Algeria at the World Cup, during which he also saved 85% of all shots on goal. His game can look flash to the uninitiated but Neuer, who has studied the movement of handball and ice hockey goalkeepers for inspiration, says he is simply doing what is best for his sides. “Goalkeepers can’t do their own thing and wait to make a great save on the line anymore,” he has said. “They are team players. Behind everything is the fundamental question: What does the team need?""","Raphael Honigstein",200,"√ MC","√ SMc","√ SB","√ PC",3,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
4,"14","10","Arjen Robben","Forward","Bayern Munich","Bundesliga",30,"Holland","Bedum","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419186329114/Arjen-Robben-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419186361568/Arjen-Robben-002.jpg","<a href=""http://www.theguardian.com/football/video/2014/dec/24/the-worlds-top-100-footballers-no4-arjen-robben"">In video: members of our expert panel discuss Robben's year</a><br/><br/>There has often been a resistance to the charm of Arjen Robben in the past, a sense that his almost self-parodying fondness for hitting the deck has undermined his appeal, but he is finally winning acceptance from the wider public. A rare case of a winger who appears to be getting better and more consistent with age, the level the Dutchman reached for club and country this year has seen him rise 10 places on this list and although Robben has just missed out on a place on the podium, it is heartening to see recognition of his talent. Life would be easier if he stayed on his feet a bit more but even his detractors would have to admit that few things are more exhilarating than Robben on the run, snaking inside from the right and bending a shot into the far corner with his left foot. He can be selfish, but the brilliance of Robben is such that his intentions are often predictable and yet defences still cannot stop him. Robben was exceptional for Bayern Munich as they won the Bundesliga and a leader for Holland on their way to finishing third in Brazil. His performance when Holland destroyed Spain 5-1 was one for the ages.","Jacob Steinberg",200,"√ MC","√ SMc","√ SB","√ PC",4,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
5,"25","20","Thomas Müller","Forward","Bayern Munich","Bundesliga",25,"Germany","Weilheim in Oberbayern","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419186241393/Thomas-Mueller--001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419186283272/Thomas-Mueller--002.jpg","<a href=""http://www.theguardian.com/football/video/2014/dec/24/the-worlds-top-100-footballers-no5-thomas-muller"">In video: members of our expert panel discuss Müller's year</a><br/><br/>“I don’t think there are many [opposition] players in the world who understand his runs and ideas,” Bastian Schweinsteiger recently said of Thomas Müller’s unorthodox playing style. With his spindly legs and sloppy attire – socks pulled halfway down, singlet peaking out above his backside – the Bayern Munich and Germany forward does a very good job at masking his predatory prowess. “There are others who are better in the air, better with their right, better with their left,” he has admitted. His deliberate free-kick stumble against Algeria didn’t quite work out but he still scored five goals for the Nationalmannschaft in Brazil to double his tally in final tournaments. Still only 25, he is on course to outscore both his namesake Gerd Müller (14 goals in the World Cup) and the current record-holder Miroslav Klose (16). Müller has moaned that “muscles don’t grow” on him but also credited that deficit for forcing him to be more proficient above the neckline, to explore spaces others don’t even begin to see. “My legs have helped me,” he told Süddeutsche Zeitung. “If you can’t just count on your physical attributes, you have to switch on your brain and make certain runs to avoid getting tackled.”","Raphael Honigstein",200,"√ MC","√ SMc","√ PC","√ SB",5,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
6,"9","3","Luis Suárez","Forward","Barcelona","La Liga",27,"Uruguay","Salto","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419186165904/Luis-Suarez--001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419186200988/Luis-Suarez--002.jpg","<a href=""http://www.theguardian.com/football/video/2014/dec/24/the-worlds-top-100-footballers-no6-luis-suarez"">In video: members of our expert panel discuss Suárez's year</a><br/><br/>A typical year in the career of one of football’s most instinctive, divisive, brilliant and troubled talents. The striker inspired Liverpool to the cusp of their first league title for 24 years, his 31 league goals, audacious skill and relentless movement integral to the breathtaking form of Brendan Rodgers’ team. Suárez swept up England’s individual honours, being named PFA and FWA Player of the Year despite claims that everyone had it in for him, with an apparent new-found maturity behind his elevation into the game’s elite. Liverpool’s title challenge ended in tears but the World Cup offered another chance to alter his reputation. Recovering from a knee ligament injury to score twice against England was a fairytale for Uruguay’s talismanic forward, but five days later he blew it, or bit it, by sinking his teeth into Italy’s Giorgio Chiellini. His World Cup was over in disgrace. Fifa hit Suárez with a four-month ban from all football-related activity and a nine-match international suspension but the record punishment did not deter Barcelona from signing the striker for £75m in July. He has made a slow start at the Camp Nou but left behind a gaping hole at Anfield.","Andy Hunter",200,"√ MC","√ SMc","√ SB","√ PC",6,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
7,"6","-1","Neymar","Forward","Barcelona","La Liga",22,"Brazil","Mogi das Cruzes","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419186064162/Neymar-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419186101251/Neymar-002.jpg","<a href=""http://www.theguardian.com/football/video/2014/dec/24/the-worlds-top-100-footballers-no7-neymar"">In video: members of our expert panel discuss Neymar's year</a><br/><br/>Brazil’s wobbly World Cup train derailed even before the dramatic Germany game. Until Juan Zuñiga’s challenge literally broke Neymar’s back, the striker had carried the host country on his young shoulders. Despite almost unbearable pressure to be Brazil’s hero, he scored two goals in the opening game against Croatia after the host nation had fallen behind and were struggling to find their rhythm. There were another two goals in the last group game against Cameroon before the win on penalties against Chile and then that fateful game against Colombia in Fortaleza. With 42 goals, Neymar is already the fifth-highest scorer in the history of the Seleção and with seven more will pip a certain Zico for fourth place. His record for Barcelona is not bad either: in his first 18 matches for the Blaugrana in 2014-15 Neymar scored 14 goals, three of them in the Champions League. It did help that from his first day in Catalonia Neymar did not try to upstage Lionel Messi, instead happily assuming second-fiddle duties. Getting more adapted to the rigours of European football will only make Neymar more dangerous, and all of a sudden the possibility of having to do without Messi is not completely unthinkable for Barcelona fans.","Fernando Duarte",200,"√ MC","√ SMc","√ PC","√ SB",7,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
8,"7","-1","Gareth Bale","Midfielder","Real Madrid","La Liga",25,"Wales","Cardiff","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185979516/Gareth-Bale-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419186016558/Gareth-Bale-002.jpg","<a href=""http://www.theguardian.com/football/video/2014/dec/24/the-worlds-top-100-footballers-no8-gareth-bale"">In video: members of our expert panel discuss Bale's year</a><br/><br/>After an injury-plagued start to his career as Real Madrid’s €100m record signing, Bale showed no sign of wilting under the burden of his price tag. He began 2014 in fine style and finished his first season in Spain with 22 goals, including one solo effort in the Copa del Rey final that was as breathtaking as it was lung-bursting. He also became the first Welshman to score in a Champions League final, during Real’s extra-time victory over Atlético. Bale has started this season as he finished the last, while speculation that his presence at the Bernabéu might pose a threat to the ego of Cristiano Ronaldo has proved to be without foundation. Indeed, the pair seem to have hit it off – “He understands me, I understand him and he produces fantastic passes,” enthused the Portuguese, “I love him.” Bale speaks equally highly of his team-mate. “I think I’m improving all the time and trying to get to the level that Cristiano’s at,” he said. “It gives me that platform to aim for and keeps me improving and hopefully one day I can get there.” On the international front, Bale’s nationality precluded him from strutting his stuff on the World Cup stage, but thanks to his influence Wales are entertaining realistic hopes of reaching the finals of Euro 2016.","Barry Glendenning",200,"√ MC","√ SMc","√ SB","√ PC",8,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
9,"15","6","Philipp Lahm","Defender","Bayern Munich","Bundesliga",31,"Germany","Munich","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185888826/Philipp-Lahm-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185936260/Philipp-Lahm-002.jpg","<a href=""http://www.theguardian.com/football/video/2014/dec/24/the-worlds-top-100-footballers-no9-philipp-lahm"">In video: members of our expert panel discuss Lahm's year</a><br/><br/>The Germany and Bayern stalwart successfully filled in as a deep-lying playmaker for Sami Khedira and Bastian Schweinsteiger at the start of the World Cup, bringing rhythm as well as defensive stability to midfield. Joachim Löw switched him back to his customary right-back role from the quarter-final against France onwards, and the 31-year-old went on to lead his side to a fourth World Cup triumph, shedding a few tears at the final whistle at the Maracanã. Has there ever been a captain who has played two different positions so successfully in a major tournament? “A footballing robot,” the former Mainz coach Thomas Tuchel called him; Pep Guardiola praised him as “the most intelligent player I’ve ever worked with”. Lahm retired from the national team after lifting the trophy. Guardiola has had him playing in yet another role this season, as an inside-right midfielder with a licence to go forward. Lahm duly scored two goals in the league before suffering a broken ankle in training in November. “We cannot play badly any more,” he said. “That’s mostly due to the  manager, and the variety we now have in our game.” In other words: Bayern have now become a side in his image.","Raphael Honigstein",200,"√ MC","√ SMc","√ PC","√ SB",9,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
10,"10","0","Sergio Agüero","Forward","Manchester City","Premier League",26,"Argentina","Quilmes","","","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185815865/Sergio-Aguero-001.jpg","https://static.guim.co.uk/sys-images/Sport/Pix/pictures/2014/12/21/1419185848682/Sergio-Aguero-002.jpg","<a href=""http://www.theguardian.com/football/video/2014/dec/24/the-worlds-top-100-footballers-no10-sergio-aguero"">In video: members of our expert panel discuss Agüero's year</a><br/><br/>Sergio Agüero scored 19 goals in his first 21 appearances in a season that - injury permitting - is shaping to be the finest of his Manchester City career. For a man pivotal in both City’s Premier League title triumphs this is some achievement, and points to how Agüero has again elevated his game to a new level. Manuel Pellegrini, Samir Nasri and a host of other City players bill him as marginally a class down from Cristiano Ronaldo and Lionel Messi and, considering the form the 26-year-old had consistently showed before he was sidelined by a knee injury in early December, it is difficult to argue with that view. The hope now is that Agüero can recover soon and instantly return to the player who – when Pellegrini’s side had a prolonged wobble – kept City in the Premier League title chase and the Champions League almost single-handedly. Who can forget that nerveless hat-trick against Bayern? Agüero featured in five of Argentina’s games as they reached the World Cup final but was not quite able to reproduce his club form on the biggest stage of all. He started the final on the bench but came on at half-time for Ezequiel Lavezzi but was unable to prevent Germany taking the prize.","Jamie Jackson",200,"√ MC","√ SMc","√ PC","√ SB",10,"Mon Jan 12 2015 17:55:00 GMT+0000 (UTC)","Footballer100 2014"
