"sheets.Sheet1.Rank","sheets.Sheet1.Last.year","sheets.Sheet1.Up.or.down","sheets.Sheet1.Name","sheets.Sheet1.Position","sheets.Sheet1.Club.on.20.Dec.2015","sheets.Sheet1.League","sheets.Sheet1.Age.on.20.Dec.2015","sheets.Sheet1.Nationality","sheets.Sheet1.Birthplace","sheets.Sheet1.Filters","sheets.Sheet1.Image.found","sheets.Sheet1.Video.Path","sheets.Sheet1.Main.image.URL.500x500px","sheets.Sheet1.Main.Image.URL.landscape.900.x.506px","sheets.Sheet1.Facewall.cell.image.GRID.src","sheets.Sheet1.Facewall.cell.image.GRID.attributes","sheets.Sheet1.Facewall.main.image.GRID.src","sheets.Sheet1.Facewall.main.image.GRID.attributes","sheets.Sheet1.","sheets.Sheet1.Profile","sheets.Sheet1.Writer","sheets.Sheet1.Words","sheets.Sheet1.Copy.in","sheets.Sheet1.Desked.","sheets.Sheet1.Subbed","sheets.Sheet1.Revised"
"1","2","1","Lionel Messi","Forward","Barcelona","Spain","28","Argentina","Rosario","Argentinian, La Liga, Forwards","","","","","https://media.guim.co.uk/27412ba5dc3ccd1ff26ac92b89a16cb37614dd2b/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/fec3cfb15dff5b25aced368d9fb0165e9405c415/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","There was a point last year when it felt like Cristiano Ronaldo had started to get the upper hand in his personal obsession to displace Lionel Messi as the sport’s principal showman. Ronaldo scored goals from any distance and any angle and <a href=""http://www.theguardian.com/football/blog/2015/nov/05/cristiano-ronaldo-film-messi"" >you just have to watch the film-documentary about him</a> to understand that it is the competition with Messi, more than anything else, that drives him to these heights. Yet his old adversary, once again, has that little extra on top. Messi is still the player you always want on the ball. He is still the player <a href=""http://www.theguardian.com/football/blog/2015/may/07/lionel-messi-barcelona-bayern-munich"" >who takes the sport to its greatest heights</a> and there is still that instantaneous ripple of expectation when he moves on to the ball, wherever he is on the pitch and whoever he is playing against.
Remember, just to cite one example, that exquisitely delivered nutmeg to find the gap between James Milner’s legs <a href=""http://www.theguardian.com/football/2015/mar/18/barcelona-manchester-city-champions-league-match-report"" >when Manchester City played at Camp Nou</a> in the Champions League? You might recall how, high in the stands, Pep Guardiola could be seen with his head in his hands, howling with laughter at the impudence of his former player. Messi does it as a matter of routine: the speed, the balance, the self-belief to back himself every time, the anticipation, the knowledge of how to make the ball do whatever he wants. And that hunger. 
Messi has been at the top of his sport for years but never leaves the sense that he wants to stop to admire the view. There is never a flicker of complacency, just that fixed expression and the clear sense that no matter who the opposition put on him, whoever kicks him and however much they try to negate him, he will always find a way. 
There is not enough said about the personal discipline that must go into maintaining that standard of excellence, but it is one of the principal reasons why this small man with the rarest gifts is a giant of the sport.","Daniel Taylor","300","SMc√","SMc√","NAm√",""
"2","1","-1","Cristiano Ronaldo","Forward","Real Madrid","Spain","30","Portugal","Funchal","Other nationalities, La Liga, Forwards","","","","","https://media.guim.co.uk/241a19060092c906a0ee8fb1c28c844dd8d59c7a/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/97334af80e5cbd8073b4113c99fb02dade296354/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","It has been a strange year for the Ballon d'Or incumbent, although here even mild decline is a relative thing. In a year when Cristiano Ronaldo seemed more or less the same, just slightly less so, he was the top pick on the Top 100 list of just 7% of judges  after careering off as <a href=""http://www.theguardian.com/football/ng-interactive/2014/dec/21/the-top-100-footballers-2014-interactive"" >runaway leader last year</a> with a massive 74%. At the same time Real Madrid's all-time <em>galáctico</em>, by mid-December, had still managed to score 52 goals for club and country, set a new Guinness world record for all-time ""most liked"" person on Facebook, and churned out a familiarly relentless stream of goals, assists, shots and arm-waggling sprints from that bespoke centre forward role. Aged 30, with 12 years of elite level football behind him, there is a sense of Ronaldo's powers not so much diminishing as condensing. This, it seems, is his way of ageing. He still runs a lot, just with an ever narrower range, more focused on shooting and scoring. Even in a so-so non-trophy year by mid-December Ronaldo still managed 327 shots at goal for club and country. His detractors will point out that he has been the hammer of the second-rankers with 28 goals – more than half his annual total – in eight games against Malmo, Espanyol, Shakhtar Donetsk, Getafe, Granada and Armenia. His supporters might point to the fact he is still jaw-droppingly prolific even in an unsettled Real team, under a manager with whom he appears to have an anti-chemistry, testament not just to his talent but to that relentless champion's will.","Barney Ronay","200","MC√","MC√","TB√","NAm√"
"3","7","4","Neymar","Forward","Barcelona","Spain","23","Brazil","Mogi das Cruzes","Brazilian, La Liga, Forwards","","","","","https://media.guim.co.uk/80b88e2e51df8ef0b2deddad678736e6a7a5c852/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/d55bc96554ca5fd288a70a418ec2fb11160315db/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","Up to third and heading even higher in the future: Neymar is surely destined to be the world’s best player, and he is still just 23. He has won the treble with Barcelona, been joint top scorer in the Champions League, including a goal in the final, and <a href=""http://www.theguardian.com/football/blog/2015/nov/02/neymar-luis-suarez-barcelona-messi"" >has played a leading role so far this season in the absence of Lionel Messi</a> with performances that have been consistently extraordinary and fantastically fun too.
That was perhaps best encapsulated by the remark made by his team-mate Luis Suárez: “We all know our roles,” the Uruguayan said. “I don’t dribble round three or four players like Neymar does.” It’s true, Neymar does, over and over again, a trail of bamboozled defenders left in his wake. “He’s electric. When he runs into the area, either they commit a penalty or he scores,” Luis Enrique said. 
And if that might sound frivolous, it is not: the productivity in 2015 has been quite astonishing. Dunga described him as the best player in the world and when he scored <a href=""http://www.theguardian.com/football/2015/nov/10/best-goals-week-neymar-sergio-ramos-alexandre-lacazette"" >an outrageously good goal against Villarreal,</a> flicking the ball over the defender before volleying it in, Gerard Piqué admiringly insisted: “I have no idea how he did it. If I tried that, I would fall over.”","Sid Lowe","200","SMc√","SMc√","NAm√","TB√"
"4","6","2","Luis Suárez","Forward","Barcelona","Spain","28","Uruguay","Salto","Other nationalities, La Liga, Forwards","","","","","https://media.guim.co.uk/ce34a0c1d04f2ce68740ead9fa2e6edc3b0efce0/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/1475ed5c99670dfd086cf646101f6829c7fecfb5/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","For Luis Suárez, fourth place in the list reflects a stunningly sustained contribution to one of the great club football triple-acts. In 2015 he hit the jackpot, finding at the age of 28, after more than 500 games as a professional, <a href=""http://www.theguardian.com/football/2015/jun/05/luis-suarez-champions-league-final-berlin"" >the extreme outer limits of his own brilliant striking talent</a>. Suárez was the No1 pick of 8% of judges, more than Cristiano Ronaldo, but his influence is stamped right across that top four. Switched to the centre at the end of last year the Uruguayan was Barcelona's catalyst, glue, and alternately the brains and muscle of the side's sublime attacking trident, creating space with his movement and hustle, linking brilliantly and helping to elevate both his front-running partners to new, or in Messi's case renewed, levels. More than 40 goals for club and country were his most tangible contribution. Missing the Copa América because of his ban for biting during the 2014 World Cup is the only negative, and the most obvious argument against nudging Suárez, the star player who makes other star players play, even higher.","Barney Ronay","200","MC√","MC√","TB√","NAm√"
"5","30","25","Robert Lewandowski","Forward","Bayern Munich","Germany","27","Poland","Warsaw","Other nationalities, Bundesliga, Forwards","","","","","https://media.guim.co.uk/ff48f2f64c9a7019e9f5cc9cbda22601542dad4c/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/e07a48197dc58251b25421f244318e0c8f21222b/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","Pep Guardiola sounded strangely unenthusiastic when Bayern Munich signed Robert Lewandowski in the summer of 2014, like a small boy shrugging his shoulders after getting a Playstation at Christmas. “I congratulate the club to sign a player like Lewandowski,” Guardiola said, raising suspicions that Bayern’s manager really would have liked another midfielder instead. How ridiculous those misgivings feel now. After a slightly awkward start to 2015, which began with Lewandowski trotting off in the 71st minute of a 4-1 defeat to Wolfsburg in January, he has cemented his reputation as the deadliest striker in Europe and risen 25 places in our rankings.
A significant moment in his Bayern career arrived when he scored twice in the 6-1 victory over Porto in the last eight of the Champions League in April and his numbers since then are startling. There was <a href=""http://www.theguardian.com/football/2015/dec/01/robert-lewandowski-bayern-munich-five-goals-wolfsburg-four-world-records"" >the five-goal burst in the space of nine minutes</a> that turned a 1-0 deficit into a 5-1 lead against Wolfsburg in September, which sparked a run of 15 goals in six games for club and country, and he was inspirational in Poland’s successful qualifying campaign for Euro 2016. Lewandowski and Guardiola are a good fit after all.","Jacob Steinberg","200","SMc√","SMc√","NAm√",""
"6","5","-1","Thomas Müller","Forward","Bayern Munich","Germany","26","Germany","Weilheim in Oberbayern","German, Bundesliga, Forwards","","","","","https://media.guim.co.uk/f550d77ecacb671d427eb117dfd13b4ef1b8fe29/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/f44887196d73d5ec8dd7b7a4ca75d9f1757aad48/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","“It’s not easy to find somebody who plays this strangely,” is how <a href=""http://www.theguardian.com/football/blog/2013/apr/05/bayern-munich-thomas-muller"">the self-styled “space interpreter”</a> once described his positional vagueness. But this year Thomas Müller, the son of a BMW engineer, has mostly been employed in a more central role at Bayern Munich, behind Robert Lewandowski. 
Closer proximity to the goal has resulted in increased output. Müller is on course for his highest-scoring season, having been prolific in the Bundesliga already. A very successful penalty-taking technique – Müller waits for the 'keeper to make up his mind and does not look at the ball before his strike – has added to his impressive numbers. 
“Müller can play badly for 90 minutes but still score,” his former youth coach at Bayern, Hermann Gerland, once said. Louis van Gaal, the Dutch coach who mentored his breakthrough at the Allianz Arena in 2009, is an admirer: Manchester United were keen to lure him to Old Trafford this summer, but Bayern have declared him officially “unsellable”. Müller, a proud Bavarian, is so highly valued for his effectiveness on the pitch and leadership qualities off it that there’s already talk of the 26-year-old taking on an important role at the club after his career.","Raphael Honigstein","200","SMc√","SMc√","TB√","NAm√"
"7","13","6","Zlatan Ibrahimovic","Forward","PSG","France","34","Sweden","Malmö","Other nationalities, Other leagues, Forwards","","","","","https://media.guim.co.uk/39ea70d830c89578dfea4902b785189a43963813/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/f103fac37eef6bb8393bf846a0122511c267332e/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","Zlatan Ibrahimovic returns to the top 10 after a year that saw him win the league with Paris St-Germain and almost single-handedly take Sweden to Euro 2016. Still a talisman for club and country, he seems determined to make the most of his final years in top-level football. He scored 19 goals in 24 matches in the 2014-15 season as PSG won the league by eight points and had 12 goals in 12 league games in early December 2015 as his club opened up a chastening 15-point gap at the top of the table. And that was despite persistent injury problems at the start of the 2015-16 season. 
Controversy, as always, was never far away and in March he lost his temper after a game against Bordeaux, swore at the referee and said that France was ""a shit country"". The National Front did not take take kindly to his comments and its president, Marine Le Pen, <a href=""http://www.theguardian.com/football/2015/mar/16/zlatan-ibrahimovic-comments-investigated-french-league-psg-marine-le-pen"" >said he could leave</a> if he did not like living there. He later apologised. 
A personal highlight of the year came in November when <a href=""http://www.theguardian.com/football/2015/nov/17/denmark-sweden-euro-2016-play-off-match-report"" >he scored three of the four goals as Sweden eliminated Denmark in the Euro 2016 play-offs,</a> the final one a beautiful free-kick from 22 yards out.","Marcus Christenson","200","SMc√","SMc√","NAm√","TB√"
"8","3","-5","Manuel Neuer","Goalkeeper","Bayern Munich","Germany","29","Germany","Gelsenkirchen","German, Bundesliga, Goalkeepers","","","","","https://media.guim.co.uk/7dd14358c25e1b638830458116242c4d5652bd25/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/55c0872ed1de1341ef286980228ad69be05ec422/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","No goalkeeper goes further than Bayern Munich’s and Germany’s Manuel Neuer. The 29-year-old has long left his line behind to become a truly postmodern No1, a defender in gloves, a keeper who dictates the rhythm and direction of his team’s buildup play with pinpoint passes from his own box. 
When he was 13, coaches at his boyhood club Schalke were so concerned by his lack of height that they considered using him as an outfielder. Neuer believes he could have held his own there too, but a growth spurt put him back on track. 
This year has been a relatively barren one for the World Cup winner, delivering only another Bundesliga title with Bayern – his third in four seasons at the Allianz Arena – but Neuer continues to set the benchmark for all-round ability. 
His ease on the ball makes it much harder for opponents to press the defenders – he is always available as an outlet – and his frequent interventions outside the box stifle many threats before they materialise. “It’s riskier not to intercept the ball,” he says, “because world class strikers make very few mistakes.” Needless to say, neither does he.","Raphael Honigstein","200","SMc√","SMc√","TB√","NAm√"
"9","10","1","Sergio Agüero","Forward","Manchester City","England","27","Argentina","Buenos Aires","Argentinian, Premier League, Forwards","","","","","https://media.guim.co.uk/69408fd9ff3e1c91247183da16471e8623907fbd/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/01db58d0147625586fee8b0a1fd97e68675b4e1c/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","Sergio Agüero is one of world football's surest things in front of goal and the highest-placed Premier League player on the list. The explosive Manchester City striker has had another prolific year despite having suffered two spells on the sidelines due to a knee injury and a troublesome hamstring. His three goals in five games helped Argentina reach the Copa América final in the summer but, undoubtedly, his highlight of 2015 was <a href=""http://www.theguardian.com/football/2015/oct/03/manchester-city-newcastle-united-premier-league-match-report-sergio-aguero"" >the jaw-dropping one-man wrecking-ball job against Newcastle,</a> in which he showcased his ability to poach, play off the shoulder, strike from distance and generally terrorise defenders like only a select few can. His five goals in 20 second-half minutes made it clear why the forward is generally considered to be the Premier League's one true global star. His razor-sharp movement makes him a nightmare to mark but also a perfect foil for creators at club and country, such as David Silva, Lionel Messi and Kevin De Bruyne. His nerveless last-minute penalty against Borussia Mönchengladbach provided the springboard for City's qualification for the last 16 of the Champions League. Uncomplicated, unerring and universally respected, his questionable fitness is his only drawback. He is in the midst of his peak years, and English football is lucky to have him.","Gregg Bakowski","200","SMc√","NO","NAm√",""
"10","22","12","Alexis Sánchez","Forward","Arsenal","England","27","Chile","Tocopilla","Other nationalities, Premier League, Forwards","","","","","https://media.guim.co.uk/3bd2c184eae25cdd1390c1b6f7f34d1e031f1f74/0_0_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/da8f0eaa1e67265c1b40feb59fe7f3fb8a0fea62/0_0_1800_1012","cropRatio=1800,1012&size=140,500,1000,1800","","Arsenal's talisman is, according to Arsène Wenger, <a href=""http://www.theguardian.com/football/2015/nov/26/alexis-sanchez-arsenal-lion-arsene-wenger"">like a lion hunting his prey</a>. “He is this kind of killer,” Wenger says. “When they go, it is to kill and after, they have to stop. His style is very explosive.” Of all the many compliments lavished upon Alexis Sánchez since his arrival in English football, this one gets to the heart of his no-holds-barred approach. The forward leaves nothing on the field; he goes and he goes; he is utterly relentless.
It is supposed to take time for an overseas player to settle in England but Sánchez hit the ground running and he has carried on and on. Consistently superb during his debut season, when he helped Arsenal to win the FA Cup and scored a cracker in the final, he has continued to drive them and even fitted in a <a href=""http://www.theguardian.com/football/2015/jul/05/chile-argentina-copa-america-final-match-report"">Copa América triumph with Chile over the summer</a>.
Sánchez has found the perfect match for his qualities in the Premier League and he is more than just a goalscorer. <a href=""http://www.theguardian.com/football/2015/apr/25/alexis-sanchez-mesut-ozil-arsenal-chelsea-arsene-wenger"">He injects the urgency and tempo</a>, making things happen. His combination of pace, power, incision and ruthlessness is effective enough but when it is allied to his levels of industry and hunger, it is deadly.","David Hytner","200","SMc√","SMc√","TB√","NAm√"
