"sheets.Sheet1.Rank","sheets.Sheet1.Last.year","sheets.Sheet1.Up.or.down","sheets.Sheet1.Name","sheets.Sheet1.Position","sheets.Sheet1.Club.on.20.Dec.2016","sheets.Sheet1.League","sheets.Sheet1.Age.on.20.Dec.2016","sheets.Sheet1.Nationality","sheets.Sheet1.Filters","sheets.Sheet1.Image.found","sheets.Sheet1.Video.Path","sheets.Sheet1.Facewall.cell.image.GRID.src","sheets.Sheet1.Facewall.cell.image.GRID.attributes","sheets.Sheet1.Facewall.main.image.GRID.src","sheets.Sheet1.Facewall.main.image.GRID.attributes","sheets.Sheet1.","sheets.Sheet1.Profile","sheets.Sheet1.Writer","sheets.Sheet1.Words","sheets.Sheet1.Copy.in","sheets.Sheet1.To.be.subbed.by","sheets.Sheet1.Subbed","sheets.Sheet1.Revised"
"1","2","1","Cristiano Ronaldo","Forward","Real Madrid","Spain","31","Portugal","Other nationalities, La Liga, Forwards","","","https://media.guim.co.uk/bf0a5d44c96331b6588b11a7b0189c92f4c9173f/900_146_1210_1210","cropRatio=1210,1210&size=140,500,1000,1210","https://media.guim.co.uk/d930e961c487954e940b06ef4a08f21fedf7e5f6/6_204_3984_2247","cropRatio=3984,2247&size=140,500,1000,2000,3984","","It is a measure of Cristiano Ronaldo's astonishingly consistent excellence that a year in which he won the Champions League with Real Madrid before captaining Portugal to victory at Euro 2016 is widely considered to have been a quiet one by his own preposterously high standards. While his apparently insatiable desire to make everything from the most informal dressing-room team photo to the highlight reels of the biggest football spectacles all about him may grate more often than amuse, it is difficult to ignore the reality that football's most preening showman is rarely found wanting ... even on the rare occasions he is found wanting. Having failed to score in the Champions League final, he stepped up to fire home the decisive spot-kick in the shootout. After limping off in the first half of Portugal's win over France in the Euro 2016 decider, he appointed himself de facto coach to roar, gesticulate and <a href=""https://www.theguardian.com/football/blog/2016/jul/10/cristiano-ronaldo-tears-portugal-greatest-night"" >will his less talented team-mates to victory</a> against the hosts. The No1 choice of just over half of our 122 judges, this was not one of Ronaldo's better years and he has still managed to end it with <a href=""https://www.theguardian.com/football/2016/dec/12/cristiano-ronaldo-ballon-dor-fourth-lionel-messi"" >his fourth Ballon d'Or award</a>, almost a decade after being presented with his first.","Barry Glendenning","200","√MC","RC","NAm","TD"
"2","1","-1","Lionel Messi","Forward","Barcelona","Spain","29","Argentina","Argentinian, La Liga, Forwards","","","https://media.guim.co.uk/c992105c66eb8d1d3649eac6b168773797607811/1494_1268_989_989","cropRatio=989,989&size=140,500,989","https://media.guim.co.uk/3d0e41a9053bfe18f8acdf30feffee1ac0427040/0_106_3674_2066","cropRatio=3674,2066&size=140,500,1000,2000,3674","","“There should be a Ballón d’Or for him and another one for all the other players,” Jorge Sampaoli said recently. Messi has set the bar so high, made the ridiculous so routine, that a year (by mid-December) in which he produced the most goals (59) and assists (36), in which he completed more dribbles than anyone else, became Xavi and Messi rolled together, won a league and cup double and took Argentina to a third final in a row, is judged a disappointment somehow. He would have thought so too when he missed that penalty at the Copa América. So much so that afterwards, he <a href=""https://www.theguardian.com/football/2016/jun/27/lionel-messi-says-he-is-quitting-argentina-team-after-copa-america-final-defeat"" >said that he was going to give up on international football</a>, only to change his mind – to everyone’s relief. Without him, Argentina have looked bereft and when World Cup qualification was on the line (it still is), he stepped up to rescue them with a goal and two assists against Colombia. Superb throughout 2016, he has started this new club season in astonishing form, <a href=""https://www.theguardian.com/football/blog/2016/nov/07/sevilla-lionel-messi-barcelona-la-liga"" >his game at Sevilla absolutely mind-blowing</a> – even by his ludicrous standards. He has started to “Di Stéfano”, one newspaper said, playing everywhere and as everything. His range of passing all over the pitch, always better than anyone else’s but hidden behind the goals, the dribbles and the assists, is getting talked about at last. There may never have been a player who can do much as him; the best No10, 7, 8, 11 and 4 all wrapped in one.","Sid Lowe","200","√MC","NAm","NAm","TD"
"3","4","1","Luis Suárez","Forward","Barcelona","Spain","29","Uruguay","Other nationalities, La Liga, Forwards","","","https://media.guim.co.uk/ba6a4198b1222a1a4e873d76281a3fcec408725e/842_631_1515_1514","cropRatio=1515,1514&size=140,500,1000,1515","https://media.guim.co.uk/fa50ff749c469b06546b6cd20b37bf808db5c1f3/303_516_3196_1797","cropRatio=3196,1797&size=140,500,1000,2000,3196","","The best of the “other” players after a season in which at club level he could even make a case to have been better than the “other two”. “When Neymar and Messi play, I try to get out the way,” he said, but on the final day of a league season which had begun with him scoring the only goal, <a href=""https://www.theguardian.com/football/2016/may/14/barcelona-pip-real-madrid-la-liga-title-luis-suarez-hat-trick"" >his hat-trick clinched the title</a>. That was appropriate: he got more goals and more assists than anyone in Spain in 2015-16. His 40 La Liga goals were more than anyone else has ever scored – apart from Messi and Ronaldo – and it was the first time one of them had not been top scorer in seven years. He scored regularly in the Champions League too and, by mid-December, he was just three short of 100 Barcelona goals.","Sid Lowe","200","√MC","RC","RC","NAm"
"4","28","24","Antoine Griezmann","Forward","Atlético Madrid","Spain","25","France","French, La Liga, Forwards","","","https://media.guim.co.uk/8265e0bfe230661a49a153f051a27b5da179d3b1/2228_208_1579_1579","cropRatio=1579,1579&size=140,500,1000,1579","https://media.guim.co.uk/3ed89b52b8904a0636fb3d87c8fff08e8f5b30f8/0_415_5000_2812","cropRatio=5000,2812&size=140,500,1000,2000,5000","","No one would have been surprised if <a href=""https://www.theguardian.com/football/2016/aug/20/antoine-griezmann-atletico-madrid-champions-league-la-liga-football"" >the 25-year-old</a> had been too jaded to shoulder his country's attacking burden at Euro 2016. After all, he went into the tournament on the back of a hyper-productive club campaign, scoring 32 goals in 57 matches as Atlético Madrid took the La Liga title race to the line and reached the final of the Champions League. Griezmann was instrumental in both those odysseys, providing much of the art and sharpness to Diego Simeone's dynamic machine. He scored goals in the Champions League quarter-final win against Barcelona and the semi-final elimination of Bayern Munich but missed a penalty in extra time of the final against Real Madrid before netting in the losing shootout. After all that he made a slow start to Euro 2016, deployed wide on the right in France's first match and dropped for the second. But in the third he took charge of his country's attack and ended the tournament with the golden boot and a host of new admirers.","Paul Doyle","200","√SM","NAm","NAm","TD"
"5","3","-2","Neymar","Forward","Barcelona","Spain","24","Brazil","Brazilian, La Liga, Forwards","","","https://media.guim.co.uk/4fa98e1fed25b46e986e9f0e2e909cc9a07ef8b2/1492_60_1254_1254","cropRatio=1254,1254&size=140,500,1000,1254","https://media.guim.co.uk/8b93e3f70a3e8b201969ced67860803c22c9b2e1/9_214_3491_1963","cropRatio=3491,1963&size=140,500,1000,2000,3491","","Down two places to fifth, Neymar has not quite pushed on as expected after a magnificent 2015. He might be No1 one day. But not yet. Not without greater consistency. This is not to say that Neymar has had a bad year. By the standards of most players, it has been wildly successful. Not content with helping Barcelona to <a href=""https://www.theguardian.com/football/2016/may/14/barcelona-pip-real-madrid-la-liga-title-luis-suarez-hat-trick"" >win La Liga</a> and the <a href=""https://www.theguardian.com/football/2016/may/22/barcelona-sevilla-copa-del-rey-match-report"" >Copa del Rey</a> again, he also knocked home the deciding penalty as Brazil, under pressure on home soil, <a href=""https://www.theguardian.com/sport/2016/aug/20/brazil-germany-rio-2016-mens-football-olympic-final-match-report"" >claimed Olympic gold in men’s football for the first time in their history</a>, and he has been in excellent goalscoring form for his country in World Cup qualifying since the summer. The spotlight was on Neymar when Messi and Argentina visited Belo Horizonte last month. He was on the scoresheet in <a href=""https://www.theguardian.com/football/2016/nov/10/brazil-argentina-world-cup-qualifier-2018-match-report"" >a 3-0 win for Brazil</a>. Yet he has not performed at his usual high level for Barcelona this season, scoring only six goals by mid-December, and there has been a little weariness to his play. There have been legal problems off the pitch, his schedule has been relentless in the past few years and it is worth remembering that he is the youngest member of Barcelona’s hallowed attacking trident. Do not be surprised if the 24-year-old returns better than ever in 2017.","Jacob Steinberg","200","√SM","RC","RC","NAm"
"6","16","10","Gareth Bale","Forward","Real Madrid","Spain","27","Wales","Other nationalities, La Liga, Forwards","","","https://media.guim.co.uk/b819abd73fb764dcaddc229122f56cce5d0aea51/1938_57_1167_1167","cropRatio=1167,1167&size=140,500,1000,1167","https://media.guim.co.uk/4cad26658d396467a66c7f9e0209af1174c85dec/8_178_3993_2245","cropRatio=3993,2245&size=140,500,1000,2000,3993","","For Gareth Bale, the rise of 10 places to sixth in the list reflects how he has eradicated any lingering doubts about his A-list credentials – although an ankle injury now means he will have to wait another couple of months before asserting them further. There was a point last year when Bale seemed unhappy at Real Madrid, little more than a support act as the Cristiano Ronaldo show rolled on, and Manchester United’s ears pricked up when the Bernabéu crowd whistled the Welshman for not passing to his illustrious team-mate in May 2015. But they don’t do that any more. Few players are as devastating as the Welshman when he sets off on one of those rampaging runs, demolishing defences with the explosiveness of his dribbling, confounding goalkeepers with that gorgeous left foot, and he has <a href=""https://www.theguardian.com/football/blog/2016/apr/23/real-madrid-gareth-bale-spain-champions-league-manchester-city"" >accepted more responsibility</a> in a year when Ronaldo has been slightly less present for Real. His leadership qualities rose to the surface in the Champions League final against Atlético Madrid, when he ignored the cramp to convert his penalty in the shootout, then when he chipped in with three goals as Wales made history by <a href=""https://www.theguardian.com/football/blog/2016/jul/06/portugal-wales-euro-2016"" >reaching the last four at Euro 2016</a>. There were two ways for Bale to respond to the critics. Come on, though. Did you really think he would let them win?","Jacob Steinberg","200","√SM","NAm","NAm","TD"
"7","5","-2","Robert Lewandowski","Forward","Bayern Munich","Germany","28","Poland","Other nationalities, Bundesliga, Forwards","","","https://media.guim.co.uk/feb9b03963bcc4e4b4675b70e64d2b25166d043c/1124_290_750_750","cropRatio=750,750&size=140,500,750","https://media.guim.co.uk/2d96079e70698121a598f18a19a7e31a3f39b752/165_0_2322_1305","cropRatio=2322,1305&size=140,500,1000,2000,2322","","Robert Lewandowski is not the sort of player who talks about himself a lot but people close to the Polish striker will tell you that he harbours a secret, great ambition: he wants to be considered the best player in the world. In the era of Cristiano Ronaldo and Lionel Messi, that will not be easy for the 28-year-old. Pure centre-forwards, adept at leading the line and scoring goals on an industrial scale, are also not as universally revered – nor indeed valued by coaches – as they were before the advent of the highlight-reel commandeering attacking midfielder/striker hybrids. Two more of that mould, Antoine Griezmann and Gareth Bale, have moved ahead of him in the ranking, even though his own performances for club and country have been just as devastating as in previous seasons. His <a href=""https://www.theguardian.com/football/2015/sep/22/bayern-wolfsburg-match-report"" >five goals in the space of nine minutes as a substitute against VfL Wolfsburg</a> in January broke four world records. More recently, he has added goals from free-kicks to his oeuvre. Orthodox No9s who concentrate on the most important thing in football, the getting-the-ball-over-the-line bit, might be in danger of going out of fashion, but Lewandowski’s specialist skill-set, the combination of superb athleticism and sublime finishing, is so impressive that he is single-handedly bucking the trend.","Raphael Honigstein","200","√SM","RC","RC","NAm"
"8","27","19","Pierre-Emerick Aubameyang","Forward","Borussia Dortmund","Germany","27","Gabon","Other nationalities, Bundesliga, Forwards","","","https://media.guim.co.uk/ed13bb7d3609d8b99426fcddc3777335edd9d252/902_101_914_914","cropRatio=914,914&size=140,500,914","https://media.guim.co.uk/aecbd673620911152616a80ac4c2eb1428c972a1/0_10_4425_2488","cropRatio=4425,2488&size=140,500,1000,2000,4425","","The man who might have joined Tottenham Hotspur in 2013 <a href=""https://www.theguardian.com/football/2016/mar/10/tottenham-pierre-emerick-aubameyang-borussia-dortmund-europa-league"" >if the club’s negotiation style had not put him off</a> keeps getting better and better, as reflected in his 19-place year-on-year rise up the Top 100 chart. He is now perhaps the most sought-after striker in the world, continually linked with a record-breaking move away from Borussia Dortmund. <a href=""https://www.theguardian.com/football/2016/jun/07/pierre-emerick-aubameyang-manchester-city-borussia-dortmund-transfer"" >Amid the speculation</a> he scores relentlessly thanks to a unique mix of cuteness, deftness and phenomenal speed. The Gabon international is integral to Dortmund's thrilling attack and has become the most prolific non-German marksman in Dortmund's history, surpassing Robert Lewandowski's tally for the club. The Pole, however, beat Aubameyang into second place in the Bundesliga scoring tables last season as Bayern Munich romped to the title, a fact the Dortmund player set about trying to correct when he scored twice on the opening day of the new campaign. Despite Aubameyang's importance to Dortmund, the club's manager, Thomas Tuchel, dropped him when he made an unauthorised excursion to Milan in November. In his first game after that he netted four in a 5-2 win over Hamburg. He also scored home and away against Real Madrid as Dortmund topped their Champions League group.","Paul Doyle","200","√SM","NAm","NAm","TD"
"9","10","1","Alexis Sánchez","Forward","Arsenal","England","28","Chile","Other nationalities, Premier League, Forwards","","","https://media.guim.co.uk/cf71edf5cc381a9d8cd9d9d02c9dd8e99970c3a7/1296_36_1214_1214","cropRatio=1214,1214&size=140,500,1000,1214","https://media.guim.co.uk/193d31c0740cfa1d8963fc8f3d8ea2d4c72be0eb/0_257_2997_1685","cropRatio=2997,1685&size=140,500,1000,2000,2997","","When Alexis Sánchez hurt his hamstring during a training session with Chile in November and it quickly became apparent that they would play him in the World Cup qualifier against Uruguay one week later, the angst that emanated from Arsenal knew no bounds. Arsène Wenger caught the mood, <a href=""https://www.theguardian.com/football/2016/nov/10/arsene-wenger-alexis-sanchez-suicidal-injury"" >warning that it could be a “suicidal decision”</a>. The thought of the club’s talisman breaking down was too horrible to bear and, when Sánchez did play, he did so with the prayers of everybody associated with Arsenal. This is how the forward is perceived these days. He has become central to the Arsenal formation, in his new role as the No9, and he is indispensable to their cause. Sánchez makes things happen, <a href=""https://www.theguardian.com/football/blog/2016/nov/28/dangerous-alexis-sanchez-driving-force-arsenal"" >through his direct and explosive style</a> and, moreover, through his relentlessness and the sheer force of his personality. His move this season from the flank to the centre, Thierry Henry-style, has made him even more of a threat and, having lifted the Copa América with Chile (again), he is obsessed by winning the title with Arsenal. A footnote: Sánchez scored two in Chile’s 3-1 victory against Uruguay. Nobody should have worried.","David Hytner","200","√SM","RC","RC","NAm"
"10","97","87","Riyad Mahrez","Forward","Leicester City","England","25","Algeria","Other nationalities, Premier League, Forwards","","","https://media.guim.co.uk/e845ea550dbd7e1c4f3f6052b88a3aad56d9f1f7/637_158_1189_1188","cropRatio=1189,1188&size=140,500,1000,1189","https://media.guim.co.uk/ba769e610dba20c1252f575c7aa8e467e1092740/598_152_4208_2366","cropRatio=4208,2366&size=140,500,1000,2000,4208","","Behold a player who is not supposed to exist in modern football. Bought for buttons and built like a rag doll, Mahrez was the most treasured performer in the Premier League last season, the deserving <a href=""https://www.theguardian.com/football/2016/apr/24/leicester-riyad-mahrez-pfa-player-of-the-year"" >recipient of the PFA player of the year award</a> following his delightful role in Leicester's sensational title triumph. His skills were among the most charming parts of the Leicester story and he used them with selfless economy: not a player for showboating even though he could entertain crowds with his trickery, he invariably chooses the right moments to flash his nimble footwork or simply play one-touch passes like the pair that <a href=""https://www.theguardian.com/football/blog/2016/dec/10/riyad-mahrez-creative-beauty-leicester-city-manchester-city"" >led to goals for Jamie Vardy</a> against Manchester City in December. That match marked a renewal of the double act that thrilled the Premier League last term, when Mahrez scored 17 league goals on top of making an abundance of them for others. After spurning opportunities to leave the King Power in the summer, he helped his team make a triumphant debut in the Champions League, as Leicester finished top of their group and set up a last-16 duel with Sevilla. Claudio Ranieri refers to Mahrez simply as “our special player”, and voters agreed that he was among the world's top 10 performers this year.","Paul Doyle","200","√SM","NAm","NAm","TD"
