"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.20.Dec.2018","sheets.players.League","sheets.players.Age.on.20.Dec.2018","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Words","sheets.players.Desked.by","sheets.players.To.be.subbed.by","sheets.players.Subbed","sheets.players.Revised","sheets.furniture.headline","sheets.furniture.standfirst","sheets.furniture.pagestrap","sheets.furniture.shareurl"
"1","6","5","Luka Modric","Midfielder","Real Madrid","Spain","33","Croatia","Other nationalities, La Liga, Midfielders","","","https://media.guim.co.uk/737d9bde5b3cf33b0230c887acfadf9e68c427bd/990_536_895_895","cropRatio=895,895&size=140,500,895","https://media.guim.co.uk/737d9bde5b3cf33b0230c887acfadf9e68c427bd/169_141_3371_2023","cropRatio=3371,2023&size=140,500,1000,2000,3371","","After six years of the Messi-Ronaldo duopoly, we have a new winner. The Croatian won by some distance, 246 points to be exact, and 79 judges had him as their No 1 (compared with 48 for Messi and 33 for Ronaldo). And it had been coming. When even Zinedine Zidane coos about you, you know you’re doing something right – and Modric does a lot right. “When the ball passes by his feet, the play flows as if football was the easiest thing in the world,” <a href=""https://www.theguardian.com/football/2018/jul/11/luka-modric-croatia-world-cup-england-miracle-worker"">Jorge Valdano wrote for the Guardian during the World Cup</a>. “Suddenly, we discover space and time do exist and all we needed was someone with the talent to bring them back, to make them what they always were. Someone who knows how to play football. Or better still PLAY FOOTBALL in capitals.” Curiously, his best season – winner of every individual award, <a href=""https://www.theguardian.com/football/ng-interactive/2017/dec/19/the-100-best-footballers-in-the-world-2017-interactive"">climbing five places to first in our list</a> – was not his best season, as he had performed better for his club the two previous seasons. But an extraordinary World Cup brought universal recognition for a wonderful player.  ","Sid Lowe","MC√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"2","2","=","Cristiano Ronaldo","Forward","Juventus","Italy","33","Portugal","Other nationalities, Serie A, Forwards","","","https://media.guim.co.uk/51281c3c9aa8bcfe8bb7fe805f3f6f9757eb9b10/1386_46_586_586","cropRatio=586,586&size=140,500,586","https://media.guim.co.uk/f53bba20898fef82548e3b8369d68b3c9b25b4c1/1_189_3919_2351","cropRatio=3919,2351&size=140,500,1000,2000,3919","","In April, Ronaldo received a standing ovation from Juventus supporters for an overhead strike against their team at the Allianz Stadium. Three months later, he returned to Turin to <a href=""https://www.theguardian.com/football/2018/jul/10/cristiano-ronaldo-juventus-real-madrid"">join the Bianconeri</a>. Inbetween, he won his third consecutive Champions League title with Real Madrid and notched <a href=""https://www.theguardian.com/football/2018/jun/15/spain-portugal-world-cup-group-b-match-report"">a brilliant World Cup hat-trick against Spain</a>. Not bad going, by most mortals' standards, and Ronaldo makes no secret that he thinks he deserved the Ballon d’Or. The year ahead will be even more fascinating, though, as he seeks to win it back in a new setting. Hailed as a footballing alien by the Italian media, he took a few games to find his scoring boots for Juventus but had hit double-figures by the end of November. Back in his old position on the left of attack, he has shown a willingness to work for teammates as well – matching his assist tally already from last season.   ","Paolo Bandini","","","","JA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"3","1","-2","Lionel Messi","Forward","Barcelona","Spain","31","Argentina","Argentinian, La Liga, Forwards","","","https://media.guim.co.uk/954afda226237609f9243b97b135775213d004d2/434_124_703_703","cropRatio=703,703&size=140,500,703","https://media.guim.co.uk/b035e8f52c5b5612121fdcf8b54bf149be4f67e7/0_211_3846_2307","cropRatio=3846,2307&size=140,500,1000,2000,3846","","So, so far ahead of everyone else in Spain, but when it came to the Champions League and the World Cup, where opinions are formed and legacies left, <a href=""https://www.theguardian.com/football/blog/2018/jun/30/argentina-france-lionel-messi-world-cup"">Messi was unable to leave the impact</a> that he wished on a year in which he led Barcelona, sometimes seemingly single-handedly, to a <a href=""https://www.theguardian.com/football/2018/apr/21/sevilla-barcelona-copa-del-rey-match-report"">league and cup double</a>. Ultimately the season felt like a disappointment – and that in itself speaks volumes. Messi is perhaps a victim of his own relentlessness, his normalisation of genius. And if the <a href=""https://www.theguardian.com/football/blog/2018/jun/28/lionel-messi-argentina-france-world-cup"">World Cup failure felt a little sad</a>, even outside Argentina, it was perhaps in part because time may be running out for Messi. And then what? Last year, no one scored more, provided more, or played better anywhere. Still, he drops to third in our list, a mere 44 points behind second-placed Cristiano Ronaldo. ","Sid Lowe","MC√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"4","8","4","Kylian Mbappé","Forward","Paris St-Germain","France","20","France","French, Ligue 1, Forwards","","","https://media.guim.co.uk/ee7d96f79f15971fba56a32a617cc35ee99b6aa7/562_51_547_547","cropRatio=547,547&size=140,500,547","https://media.guim.co.uk/740417015e9d2279928da7a46036d6ff050089fc/1162_672_5644_3387","cropRatio=5644,3387&size=140,500,1000,2000,5644","","One could argue for hours about Mbappé’s most impressive quality – his devastating speed? His deft touch? The deadly, joyful wit with which he plays? The composure that enables him to take all his gifts and all the acclaim in his stride? – or one could just point to the awards he won before even turning 20. In 2018 he helped Paris Saint-Germain to win the French domestic treble and <a href=""https://www.theguardian.com/football/2018/jul/15/france-croatia-world-cup-final-match-report"">France to win the World Cup</a>, becoming the first teenager in 60 years to score in the final. “Welcome to the club,” tweeted Pelé. Some of his feats in Russia went straight into World Cup legend: the <a href=""https://www.theguardian.com/football/2018/jul/04/france-kylian-mbappe-closer-summit-argentina"">devastating runs against Argentina</a> that no one can forget, least of all Marcus Rojo; the double-roll and backheeled pass to Olivier Giroud in <a href=""https://www.theguardian.com/football/2018/jul/10/france-belgium-world-cup-semi-final-match-report"">the semi-final against Belgium</a>, two touches that proved space and time only mean what Mbappé wants them to mean.","Paul Doyle","SMc√","JA","JA√","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"5","22","17","Mohamed Salah","Forward","Liverpool","England","26","Egypt","Other nationalities, Premier League, Forwards","","","https://media.guim.co.uk/f4346fae11b02389b2c53b1123910a2c835dc275/1266_93_1447_1447","cropRatio=1447,1447&size=140,500,1000,1447","https://media.guim.co.uk/83a6c50f2b91abe0c1189dabfde3aab9838076ee/0_0_3897_2339","cropRatio=3897,2339&size=140,500,1000,2000,3897","","The man who made £36.9m resemble a transfer bargain. Salah is the biggest climber into the top 10 following a phenomenal debut season at Liverpool where he destroyed opposition defences, records and helped guide Jürgen Klopp’s team to the Champions League final. The 26-year-old scored 44 goals in total for his club, including 32 in the Premier League. That made him the most prolific goalscorer in a 38-game season, eclipsing Alan Shearer, Cristiano Ronaldo and Luis Suárez, and brought a clean sweep of individual honours including <a href=""https://www.theguardian.com/football/2018/apr/22/mohamed-salah-pfa-player-of-year"">PFA and FWA player of the year</a> plus Liverpool’s player of the season. Salah delivered for his country too, holding his nerve to send Egypt to their first World Cup in 28 years with a 94th-minute penalty against Congo. An absence of ego enhances Salah’s appeal but also the cruelty of his Champions League final – and World Cup – <a href=""https://www.theguardian.com/football/blog/2018/may/26/liverpool-mohamed-salah-cruel-end-real-madrid-sergio-ramos-champions-league"">being blighted by a controversial injury</a>.","Andy Hunter","SMc√","JA","JA√","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"6","18","12","Antoine Griezmann","Forward","Atlético Madrid","Spain","27","France","French, La Liga, Forwards","","","https://media.guim.co.uk/3cbf9ed81509c5d84187a5a737ec1692ef5db36d/2022_29_1225_1225","cropRatio=1225,1225&size=140,500,1000,1225","https://media.guim.co.uk/79e2559369595043915399ba8adfb55948412332/0_666_5077_3046","cropRatio=5077,3046&size=140,500,1000,2000,5077","","Griezmann rises 12 places, sitting at the top table where he has said he wants to eat with Ronaldo and Messi. There may be some debate about that still, but he did what neither of them could and was the most decisive player for the world champions – scoring or assisting in every round from the quarter-final on. A superb player who plays as if he was a terrible one, endeavour and intelligence supplement his talent. Other systems might work better for him, seen selfishly, but he <a href=""https://www.theguardian.com/football/2018/may/16/marseille-atletico-madrid-europa-league-final-match-report"">works brilliantly for Diego Simeone</a> and for Didier Deschamps too. He is one of 13 Frenchmen on the 2018 list with only Kylian Mbappé in front of him, at No 4. He may need to win the Champions League - or at least reach the final – with Atlético this season to break into the top three. ","Sid Lowe","SMc√","NA","NA","JA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"7","10","3","Eden Hazard","Forward","Chelsea","England","27","Belgium","Belgian, Premier League, Forwards","","","https://media.guim.co.uk/11869218be8937243eb31d98ef36f2d25a19b902/1377_239_1212_1212","cropRatio=1212,1212&size=140,500,1000,1212","https://media.guim.co.uk/4bfc368ac31ecfe116bde1c8574a11849204932d/0_62_4768_2860","cropRatio=4768,2860&size=140,500,1000,2000,4768","","Hazard captained his country to a best-ever finish of third at the World Cup, prompting a slight rise to seventh, and remains Chelsea’s creative inspiration, a force of nature offering menace from the left flank. The club’s priority is to <a href=""https://www.theguardian.com/football/2018/dec/04/cesar-azpilicueta-chelsea-deal-fabregas-david-luiz"">extend his stay at Stamford Bridge beyond 2020</a>, conscious as they are that replacing the Belgian would be a daunting prospect. Money would effectively be no object, but Hazard seems to have <a href=""https://www.theguardian.com/football/blog/2018/oct/13/eden-hazard-real-madrid-chelsea"">set his sights on a move to Real Madrid</a>. He <a href=""https://www.theguardian.com/football/2018/jul/14/eden-hazard-chelsea-future-doubt-preferred-destination"">suggested in St Petersburg over the summer</a> that the time may be right for him to move on but, with Chelsea unwilling to countenance a sale at present, he knuckled down back at Cobham and was the Premier League’s best player in the autumn. The goals have rather stalled of late but, with Real forever watching developments from afar and negotiations on hold over new terms, his threat remains potent.","Dominic Fifield","SMc√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"8","4","-4","Kevin De Bruyne","Midfielder","Manchester City","England","27","Belgium","Belgian, Premier League, Midfielders","","","https://media.guim.co.uk/aa2a2ac6ab67d7f39eca739415816d190e3f67f3/1110_219_1224_1223","cropRatio=1224,1223&size=140,500,1000,1224","https://media.guim.co.uk/ec5c34110c99eeef9ac4fd8966b0e694bc5e8f89/0_107_3607_2164","cropRatio=3607,2164&size=140,500,1000,2000,3607","","The midfielder began 2018 by <a href=""https://www.theguardian.com/football/2018/jan/22/manchester-city-kevin-de-bruyne-signs-new-five-year-deal"">signing a new five-year contract with Manchester City</a>, who might have given him a deal for life if asked. A week later he demonstrated his latest trick in an ever-expanding repertoire, scoring a goal by drilling a free-kick under Cardiff City’s wall. Every week he conjured a new delight as City swaggered to the Premier League title. “I think there is almost no game where my standard has dropped,” he said towards the end of a campaign in which his incessant excellence surprised even himself. No player can control matches as authoritatively as him, and only a few can transform games with such sudden and improbable bursts or passes. He was instrumental for his country, too, as Belgium achieved a best-ever third place finish at the World Cup, his <a href=""https://www.theguardian.com/football/2018/jul/06/brazil-belgium-world-cup-quarter-final-match-report"">long-range winning goal against Brazil</a> being one of the highlights of the tournament.","Paul Doyle","SMc√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"9","5","-4","Harry Kane","Forward","Tottenham Hotspur","England","25","England","English, Premier League, Forwards","","","https://media.guim.co.uk/1ac27424c4fdfd259e9660a620b0b8f13bfb31eb/552_121_1085_1085","cropRatio=1085,1085&size=140,500,1000,1085","https://media.guim.co.uk/4faf62e478fd264155e90a4578289f4cc5a602a9/0_79_4779_2867","cropRatio=4779,2867&size=140,500,1000,2000,4779","","When you are at the top, the scrutiny only intensifies and it feels as though there is a peculiarly English obsession with picking holes in Kane. The England captain <a href=""https://www.theguardian.com/football/ng-interactive/2018/jun/14/golden-boot-standings-top-scorers-for-russia-2018-world-cup"">won the World Cup Golden Boot in the summer</a> yet it was pointed out the haul included three penalties and a deflection. He had a slow-ish start to the new season, scoring just two in eight for club and country. Had he lost his edge, finally buckling under his gargantuan workload? Kane has made a living out of proving people wrong. Remember that one-season wonder tag? He is now a four-and-a-half-season wonder. Few players possess his single-mindedness, his obsessive dedication and, amid the noise, he has simply carried on doing what he does – scoring goals. Tiredness? Kane maintains he enjoys the flow of the matches. It gives him his rhythm. Surely, it is better to cherish a master of his art? He may be down four places in the top 100 but he is still considered to be one of the best 10 players in the world. ","David Hytner","MC√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"10","17","7","N'Golo Kanté","Midfielder","Chelsea","England","27","France","French, Premier League, Midfielders","","","https://media.guim.co.uk/1d4f4606c63e5615bf0ff7632e6f396e7f2b68d2/733_116_763_763","cropRatio=763,763&size=140,500,763","https://media.guim.co.uk/9aeaf1767280c511ff5295a293e9bafe20f35d65/0_129_4105_2463","cropRatio=4105,2463&size=140,500,1000,2000,4105","","The Frenchman had already won successive Premier League titles with Leicester and Chelsea in his first two years in English football but, not content with that haul, he was <a href=""https://www.theguardian.com/football/2018/jul/02/ngolo-kante-class-world-cup-france"">integral to Les Bleus' successful World Cup campaign</a>. Kanté is all scuttling energy, a blur of interceptions. The French literally sung his praises after Russia, rejoicing in his understated style. Chelsea value him highly, warding off Paris Saint-Germain’s interest for now with a new five-year contract worth £290,000-a-week in the autumn. He has actually found periods of the domestic campaign to date something of a chore having been displaced as the midfield pivot by Jorginho, with Maurizio Sarri demanding the 27-year-old is more of a progressive force these days on the right of a three. If the Italian can eke goals and creativity from Kanté’s game, he will surely remain upwardly mobile in this survey.","Dominic Fifield","SMc√","JA","JA","NA","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
