"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Position.modifier","sheets.players.Club.on.23.Jan.2023","sheets.players.League","sheets.players.Age.on.23.Jan.2023","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"1","2","1","Lionel Messi","Forward","RIGHT","Paris Saint-Germain","France","35","Argentina","Argentinian, Ligue 1, Forwards","Yes","","https://media.guim.co.uk/43ea133e5b75014142789d83b0b3436cab703cd8/819_42_685_685/500.jpg","","https://media.guim.co.uk/95998dd76aa1c5196a648a5d395717eb577ffb9d/0_0_7677_4609/500.jpg","","","After a low-key 2021-22 season, his first at PSG, no one knew quite what to expect from Messi in this World Cup-interrupted campaign. However, he came back after the summer firing on all cylinders. There were goals or assists in all but four Ligue 1 games he played before the World Cup and in Qatar, of course, he led Argentina to glory for the first time since 1986. Messi played with abandon as Argentina bounced back from their opening defeat to Saudi Arabia to go all the way, Messi scoring seven goals, including two in the final. He tops our list for a remarkable sixth time with every single judge of the 206-strong panel having him on their voting slip and with 156 of them putting him at No 1.","Marcus Christenson","","","day_4_scalpel.jpg"
"2","6","4","Kylian Mbappé","Forward","CENTRE","Paris Saint-Germain","France","24","France","French, Ligue 1, Forwards","Yes","","https://media.guim.co.uk/61dd16e73149973a4561139c4f7061f9cfbd96ac/619_24_583_583/500.jpg","","https://media.guim.co.uk/abadabb4475f98e5e4d3b484f1c93ff042b1c8ba/0_95_2742_1645/500.jpg","","","This was the year that confirmed that The Age of Mbappé has already begun. No one in Europe’s leading divisions came close to his 44 goals in 43 club games, before a hat-trick in the final helped the France forward top the World Cup scoring charts with eight. Although signs of growing self-importance are a concern, an increasingly ruthless and commanding Mbappé was routinely unplayable in 2022, regardless of the competition. Each year since his 2017 emergence has seen Mbappé’s game authoritatively ease up a gear. Barely 24, the likely continuation of that upward curve is at once a thrilling and terrifying prospect.","Adam White","","","day_4_scalpel.jpg"
"3","4","1","Karim Benzema","Forward","CENTRE","Real Madrid","Spain","35","France","French, La Liga, Forwards","Yes","","https://media.guim.co.uk/d46dbe387dfb8854017ce48415025a26608f2a2a/658_12_1366_1366/500.jpg","","https://media.guim.co.uk/65d111ee08979d1ad86d06816b93573b8ed57525/0_88_5440_3263/500.jpg","","","“K9 is Superman,” Iker Casillas said. “K9 is Wolverine. K9 is your best friend. K9 is your grandmother. K9 is the parachute instructor you throw yourself out of an aircraft with. K9 is your guardian angel. K9 is God.” K9, in short, is our No 3 – and he may consider that low, injury and absence from the World Cup denying him (and perhaps France?) the chance to reach the very top. Top scorer in La Liga and the Champions League, scoring three against PSG, three against Manchester City and four against Chelsea, he was deservedly the runaway Ballon d’Or winner.","Sid Lowe","","","day_4_scalpel.jpg"
"4","7","3","Erling Haaland","Forward","CENTRE","Manchester City","England ","22","Norway","Other nationalities, Premier League, Forwards","Yes","","https://media.guim.co.uk/fb9e9b89b276ef5a1c03b2807bf9ee85097c6aa1/1063_133_1231_1230/500.jpg","","https://media.guim.co.uk/52414521614247b5c709e9b1a4dd6c40baf23ac1/0_70_2644_1587/500.jpg","","","New league, same old Haaland. Any fears that a move to the Premier League from the Bundesliga would slow down the goalscoring prowess of the 22-year-old Norwegian vanished within a few weeks of the 2022-23 season. At the time of writing he has 25 goals in 19 English top-flight games and a further five in four Champions League fixtures. Norway not qualifying for the World Cup gave him a rest but one wonders how high he would have finished on this list with a good showing in Qatar. Haaland moves into our top five for the first time but did finish more than 600 points behind Karim Benzema in third.","Marcus Christenson","","","day_4_scalpel.jpg"
"5","40","35","Luka Modric","Midfielder","CENTRE","Real Madrid","Spain","37","Croatia","Other nationalities, La Liga, Midfielders","Yes","","https://media.guim.co.uk/29bd1cdbab1dc14b83e666e56c1860e724deca26/565_1_823_823/500.jpg","","https://media.guim.co.uk/2de34801abc8d247bfc7b2d7f4fad5ed2277af27/0_177_2800_1681/500.jpg","","","“We all know how many lovely words have been written about Luka and what he has done, not just for Croatia but the whole world. Age comes to everyone, but he is immortal,” Andrej Kramaric said before Croatia’s last game at the World Cup – but not, fortunately, Modric’s last game for his country. Few could have blamed him for bowing out with a third place in Qatar to go with his runners-up medal from Russia, aged 37 and on 162 caps, having just won a fifth Champions League, but Modric goes on. And that is a joy.","Sid Lowe","","","day_4_scalpel.jpg"
"6","10","4","Kevin De Bruyne","Midfielder","CENTRE","Manchester City","England","31","Belgium","Other nationalities, Premier League, Midfielders","Yes","","https://media.guim.co.uk/8df9ecb7c8b415d1738a3657ea87e148bcab249a/1474_45_1192_1192/500.jpg","","https://media.guim.co.uk/00eab0ade09fc1c4d9fbfbd97f655346ef71d073/0_127_3070_1842/500.jpg","","","If there is a moment that sums up De Bruyne’s 2022 it has to be the driving run and low cross that led to İlkay Gündogan’s title-winning goal for Manchester City on the final day of last season. Once again City’s creator supreme came to the fore when they needed him most. De Bruyne assisted eight goals for Pep Guardiola’s team as they went about securing a fourth championship in five years and already had a further 10 this campaign prior to the World Cup. At the tournament itself the 31-year-old was an ineffective presence for a poor Belgium side but, overall, remains a supreme midfield talent. This is the fifth time he is in our top 10, a testament to his consistency.","Sachin Nakrani","","","day_4_scalpel.jpg"
"7","1","-6","Robert Lewandowski","Forward","CENTRE","Barcelona","Spain","34","Poland","Other nationalities, La Liga, Forwards","Yes","","https://media.guim.co.uk/d7207913562058cb5e15f15ffa594c247fd51330/1147_8_905_905/500.jpg","","https://media.guim.co.uk/78eee1b998de665f8694989d25e96980184dfa13/248_110_5107_3064/500.jpg","","","Everyone expected Lewandowski to be good as he joined Barcelona after eight prolific years at Bayern Munich, but he has been even better than anticipated. He has continued to score bucketloads of goals – 22 in 23 appearances in all competitions – and got Barça wins they arguably did not deserve, October’s 1-0 victory at Mallorca being a case in point. He also fulfilled a lifelong ambition by scoring at a World Cup for the first time. The joy on his face against Saudi Arabia said it all, showing that his love for goals has not diminished with age. Having been crowned the best player in the world by the Guardian two years in a row, he drops to seventh this time around.","Marcus Christenson","","","day_4_scalpel.jpg"
"8","31","23","Vinícius Júnior","Forward","LEFT","Real Madrid","Spain","22","Brazil","Brazilian, La Liga, Forwards","Yes","","https://media.guim.co.uk/769637b581c917aff6baebe00dc7d8886dc05723/807_800_1753_1754/500.jpg","","https://media.guim.co.uk/558d366f62a65998fca2ffbf07c17e19fdbb8b72/0_29_1899_1139/500.jpg","","","Spain’s best Viní since Samways. Asked not long ago why he was calmer in front of goal, the days when one-on-ones were no guarantee long gone, Vinícius replied: “I was younger then.” It was a simple reply but maybe necessary, a reminder of how early footballers are exposed. One thing’s certain: no one doubts Vinícius any more. Electric, willing to take on anyone, the focus of so much of Real Madrid’s attacking, his fourth season at the Bernabéu ended with 22 goals, 20 assists, more dribbles than anyone and the winning goal in the Champions League final, all before his 22nd birthday. A new entry to the top 10, he looks set to stay here for some time.","Sid Lowe","","","day_4_scalpel.jpg"
"9","53","44","Thibaut Courtois","Goalkeeper","CENTRE","Real Madrid","Spain","30","Belgium","Other nationalities, La Liga, Goalkeepers","Yes","","https://media.guim.co.uk/3e61d3dfb1b832565039d20b5d85f343df4ae92b/246_0_1667_1667/500.jpg","","https://media.guim.co.uk/95d066e01faf53e97e22be522f2f84625d58da93/0_13_1953_1172/500.jpg","","","“I don’t know what we’re supposed to do to beat Courtois. Pray maybe,” Rayo Vallecano’s Iván Balliu said. There was a bit of a fuss not long ago when one magazine left Courtois out of its list of the world’s 10 best goalkeepers. The only reasonable explanation was this was an “except Courtois” list, so manifestly superior was he to everyone else. Reached an absurd level in 2022, shown in the European Cup final and so many other nights. Made 59 Champions League saves, almost four times as many as Alisson. Up 44 places; genuinely could be up 50+.","Sid Lowe","","","day_4_scalpel.jpg"
"10","3","-7","Mohamed Salah","Forward","RIGHT","Liverpool","England","30","Egypt","Other nationalities, Premier League, Forwards","Yes","","https://media.guim.co.uk/7339b9eceb84a4caa1adf1e20bc486f3ea01ad17/1055_8_986_986/500.jpg","","https://media.guim.co.uk/03b1a8e668ec8890efbc73cbc85a092fcd873468/0_92_2595_1557/500.jpg","","","It says everything about the Liverpool forward’s remarkable output over many seasons that 2022 was not considered a vintage year for a player occupying his lowest position in our poll since 2017. Salah scored 31 goals for Liverpool in 2021-22 and 25 in a calender year that saw Jürgen Klopp’s side reach the Champions League final for the third time in five seasons. There were considerable disappointments along the way, including losing both the Africa Cup of Nations final and World Cup play-off on penalties to Senegal with Egypt. That burden took its toll but Salah’s status at the top of the game was reflected in Liverpool’s award of a new £350,000-a-week, three year contract, the most lucrative in the club’s history.","Andy Hunter","","","day_4_scalpel.jpg"
